slot	arm	server_sha256	predicted_n	predicted_ms	tok_s	census_rows	sidecar	ownership	status	sclk_mode_mhz	sclk_share	regime_delta
0a	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	9590.023	6.569	-	on	-	completed	700	0.1335	-
0b	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	10617.103	5.934	-	on	-	completed	650	0.1549	-
0c	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	10313.092	6.109	-	on	-	completed	666	0.1532	-
1	P-nosidecar	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	9380.407	6.716	-	off	-	completed	-	-	-
2	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	9263.556	6.801	-	on	-	completed	750	0.1292	+0.1227
3	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	9834.057	6.406	-	on	-	completed	666	0.1595	+0.0120
4	P-nosidecar	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	10670.614	5.904	-	off	-	completed	-	-	-
5	P-nosidecar	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	10716.803	5.879	-	off	-	completed	-	-	-
6	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	10657.735	5.911	-	on	-	completed	650	0.2003	-0.0122
7	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	10848.324	5.807	-	refused	-	failed	640	0.2040	-0.0274
8	P-nosidecar	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	10599.243	5.944	-	off	-	completed	-	-	-
9	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	10667.425	5.906	-	refused	-	failed	650	0.2145	-0.0122
10	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	10357.184	6.083	-	on	-	completed	650	0.1687	-0.0122
11	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	10379.681	6.070	-	on	-	completed	666	0.1862	+0.0120
12	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	10269.412	6.135	-	on	-	completed	650	0.1523	-0.0122
13	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	10593.044	5.947	-	refused	-	failed	659	0.2000	+0.0015
14	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	9090.906	6.930	-	on	-	completed	775	0.1631	+0.1510
15	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	8767.607	7.186	-	on	-	completed	787	0.1262	+0.1639
16	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	9264.917	6.800	-	on	-	completed	787	0.0988	+0.1639
17	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	10061.476	6.262	-	refused	-	failed	666	0.1826	+0.0120
18	I1	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	10823.690	5.821	43608	refused	-	failed	659	0.1988	+0.0015
19	I1	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	10962.259	5.747	43608	refused	-	failed	650	0.2555	-0.0122
20	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	10431.993	6.039	-	refused	-	failed	666	0.1603	+0.0120
21	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	10379.410	6.070	-	refused	-	failed	666	0.1970	+0.0120
22	I1	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	10523.615	5.987	43608	on	conclusive	completed	650	0.1756	-0.0122
23	I1	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	10919.650	5.769	43608	refused	-	failed	666	0.1952	+0.0120
24	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	10310.328	6.110	-	refused	-	failed	666	0.1892	+0.0120
25	S	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	42299.701	1.489	64	refused	-	failed	400	0.6109	-0.3921
