slot	arm	tok_s	sclk_mode_mhz	mclk_mode_mhz	temp_mean_c	temp_max_c	busy_mean_percent	samples	sclk_share
0a	W	6.569	700	1067	72.5	76.0	94.78	1049	0.1335
0b	W	5.934	650	1067	72.2	74.0	92.67	1162	0.1549
0c	W	6.109	666	1067	72.3	75.0	94.14	1110	0.1532
02	P	6.801	750	1067	73.0	77.0	94.84	1006	0.1292
03	P	6.406	666	1067	72.4	75.0	94.22	1066	0.1595
06	P	5.911	650	1067	72.3	74.0	93.12	1148	0.2003
07	P	5.807	640	1067	72.9	75.0	92.63	1157	0.2040
09	P	5.906	650	1067	72.3	75.0	93.56	1147	0.2145
10	I0	6.083	650	1067	73.1	74.0	94.14	1126	0.1687
11	I0	6.070	666	1067	73.1	75.0	93.76	1128	0.1862
12	P	6.135	650	1067	73.1	75.0	94.39	1116	0.1523
13	P	5.947	659	1067	73.2	75.0	93.26	1150	0.2000
14	I0	6.930	775	1067	73.8	78.0	94.93	981	0.1631
15	I0	7.186	787	1067	74.2	79.0	95.61	951	0.1262
16	P	6.800	787	1067	74.2	79.0	94.65	1012	0.0988
17	I0	6.262	666	1067	73.7	78.0	94.04	1095	0.1826
18	I1	5.821	659	1067	73.2	75.0	93.56	1157	0.1988
19	I1	5.747	650	1067	73.1	75.0	93.17	1174	0.2555
20	I0	6.039	666	1067	73.1	75.0	94.27	1123	0.1603
21	I0	6.070	666	1067	73.2	75.0	93.97	1117	0.1970
22	I1	5.987	650	1067	73.2	75.0	93.49	1139	0.1756
23	I1	5.769	666	1067	73.2	75.0	92.07	1178	0.1952
24	I0	6.110	666	1067	73.2	75.0	93.81	1110	0.1892
25	S	1.489	400	1067	74.4	76.0	43.61	4228	0.6109
