slot	arm	phase	begin_ns	end_ns	note
0a	W	launch	1788632271822587755	1788632279786300438	-
0a	W	request	1788632279786300438	1788632283652941720	-
0a	W	teardown	1788632283652941720	1788632284673982636	-
0a	W	analysis	1788632284673982636	1788632287085332690	-
0a	W	cooldown	1788632287086223223	1788632296616572357	quiescence=reached elapsed_ms=9511 sclk_forced=1 predicates=-
1	P-nosidecar	launch	1788632296617773123	1788632304805023796	-
1	P-nosidecar	request	1788632304805023796	1788632308634791444	-
1	P-nosidecar	teardown	1788632308634791444	1788632309401718617	-
1	P-nosidecar	analysis	1788632309401718617	1788632311792756071	-
1	P-nosidecar	cooldown	1788632311793687930	1788632318193364507	quiescence=reached elapsed_ms=6385 sclk_forced=1 predicates=-
2	P	launch	1788632318194544935	1788632325958923925	-
2	P	request	1788632325958923925	1788632329788949398	-
2	P	teardown	1788632329788949398	1788632330789524163	-
2	P	analysis	1788632330789524163	1788632333257023560	-
2	P	cooldown	1788632333257877726	1788632343499013003	quiescence=reached elapsed_ms=10216 sclk_forced=1 predicates=-
3	P	launch	1788632343500186058	1788632351412305564	-
3	P	request	1788632351412305564	1788632355343912670	-
3	P	teardown	1788632355343912670	1788632356214248716	-
3	P	analysis	1788632356214248716	1788632358644165646	-
3	P	cooldown	1788632358645080294	1788632368951552497	quiescence=reached elapsed_ms=10290 sclk_forced=1 predicates=-
4	P-nosidecar	launch	1788632368952643100	1788632376730772917	-
4	P-nosidecar	request	1788632376730772917	1788632380583288713	-
4	P-nosidecar	teardown	1788632380583288713	1788632381574275084	-
4	P-nosidecar	analysis	1788632381574275084	1788632383957331361	-
4	P-nosidecar	cooldown	1788632383958208570	1788632393597483209	quiescence=reached elapsed_ms=9624 sclk_forced=1 predicates=-
5	P-nosidecar	launch	1788632393598684687	1788632401540327247	-
5	P-nosidecar	request	1788632401540327247	1788632405378079182	-
5	P-nosidecar	teardown	1788632405378079182	1788632406172291774	-
5	P-nosidecar	analysis	1788632406172291774	1788632408577363991	-
5	P-nosidecar	cooldown	1788632408579127185	1788632416421133260	quiescence=reached elapsed_ms=7826 sclk_forced=1 predicates=-
6	P	launch	1788632416422251945	1788632424587643271	-
6	P	request	1788632424587643271	1788632428391698185	-
6	P	teardown	1788632428391698185	1788632429392632543	-
6	P	analysis	1788632429392632543	1788632431845191049	-
6	P	cooldown	1788632431846136414	1788632441416209218	quiescence=reached elapsed_ms=9551 sclk_forced=1 predicates=-
7	P	launch	1788632441418010643	1788632449188509982	-
7	P	request	1788632449188509982	1788632453137826532	-
7	P	teardown	1788632453137826532	1788632454058203459	-
7	P	analysis	1788632454058203459	1788632456540999770	-
7	P	cooldown	1788632456541957317	1788632466469430988	quiescence=reached elapsed_ms=9914 sclk_forced=1 predicates=-
8	P-nosidecar	launch	1788632466470644798	1788632474146516220	-
8	P-nosidecar	request	1788632474146516220	1788632477944144239	-
8	P-nosidecar	teardown	1788632477944144239	1788632478731290710	-
8	P-nosidecar	analysis	1788632478731290710	1788632481062844839	-
8	P-nosidecar	cooldown	1788632481063743848	1788632491958182543	quiescence=reached elapsed_ms=10880 sclk_forced=1 predicates=-
9	P	launch	1788632491959332035	1788632499737089175	-
9	P	request	1788632499737089175	1788632503568656892	-
9	P	teardown	1788632503568656892	1788632504583308754	-
9	P	analysis	1788632504583308754	1788632506971359704	-
9	P	cooldown	1788632506972149692	1788632515398322953	quiescence=reached elapsed_ms=8412 sclk_forced=1 predicates=-
10	I0	launch	1788632515399564254	1788632523233777832	-
10	I0	request	1788632523233777832	1788632527201221406	-
10	I0	teardown	1788632527201221406	1788632528080836302	-
10	I0	analysis	1788632528080836302	1788632530476885636	-
10	I0	cooldown	1788632530477918052	1788632536802801901	quiescence=reached elapsed_ms=6308 sclk_forced=1 predicates=-
11	I0	launch	1788632536803897804	1788632544746990108	-
11	I0	request	1788632544746990108	1788632548661126132	-
11	I0	teardown	1788632548661126132	1788632549590880909	-
11	I0	analysis	1788632549590880909	1788632551995790365	-
11	I0	cooldown	1788632551996728467	1788632559759584131	quiescence=reached elapsed_ms=7748 sclk_forced=1 predicates=-
12	P	launch	1788632559760684332	1788632567529269520	-
12	P	request	1788632567529269520	1788632571340296779	-
12	P	teardown	1788632571340296779	1788632572336185852	-
12	P	analysis	1788632572336185852	1788632574802214353	-
12	P	cooldown	1788632574803055857	1788632583827084590	quiescence=reached elapsed_ms=9010 sclk_forced=1 predicates=-
13	P	launch	1788632583828306105	1788632591747596595	-
13	P	request	1788632591747596595	1788632595632640564	-
13	P	teardown	1788632595632640564	1788632596642739008	-
13	P	analysis	1788632596642739008	1788632599195731481	-
13	P	cooldown	1788632599196682036	1788632610757330034	quiescence=reached elapsed_ms=11545 sclk_forced=1 predicates=-
14	I0	launch	1788632610758725390	1788632618679688681	-
14	I0	request	1788632618679688681	1788632622569189436	-
14	I0	teardown	1788632622569189436	1788632623567734671	-
14	I0	analysis	1788632623567734671	1788632626015834151	-
14	I0	cooldown	1788632626016731107	1788632634637134817	quiescence=reached elapsed_ms=8604 sclk_forced=1 predicates=-
15	I0	launch	1788632634638277427	1788632642615214358	-
15	I0	request	1788632642615214358	1788632646423618434	-
15	I0	teardown	1788632646423618434	1788632647180595127	-
15	I0	analysis	1788632647180595127	1788632649607004544	-
15	I0	cooldown	1788632649608112619	1788632656011635607	quiescence=reached elapsed_ms=6388 sclk_forced=1 predicates=-
16	P	launch	1788632656012871188	1788632663768032390	-
16	P	request	1788632663768032390	1788632667806120944	-
16	P	teardown	1788632667806120944	1788632668684050384	-
16	P	analysis	1788632668684050384	1788632671128133328	-
16	P	cooldown	1788632671128972989	1788632679024986802	quiescence=reached elapsed_ms=7880 sclk_forced=1 predicates=-
17	I0	launch	1788632679026155480	1788632686819262436	-
17	I0	request	1788632686819262436	1788632690675643447	-
17	I0	teardown	1788632690675643447	1788632691666817194	-
17	I0	analysis	1788632691666817194	1788632694088010072	-
17	I0	cooldown	1788632694088973330	1788632702822367471	quiescence=reached elapsed_ms=8716 sclk_forced=1 predicates=-
18	I1	launch	1788632702823499622	1788632710651496016	-
18	I1	request	1788632710651496016	1788632714544230418	-
18	I1	teardown	1788632714544230418	1788632715550874484	-
18	I1	analysis	1788632715550874484	1788632719201385757	-
18	I1	cooldown	1788632719202314862	1788632729629489655	quiescence=reached elapsed_ms=10409 sclk_forced=1 predicates=-
19	I1	launch	1788632729630654285	1788632737618355381	-
19	I1	request	1788632737618355381	1788632741418090364	-
19	I1	teardown	1788632741418090364	1788632742459123970	-
19	I1	analysis	1788632742459123970	1788632746109404060	-
19	I1	cooldown	1788632746110373971	1788632754306733193	quiescence=reached elapsed_ms=8182 sclk_forced=1 predicates=-
20	I0	launch	1788632754307807556	1788632762289942973	-
20	I0	request	1788632762289942973	1788632766092618595	-
20	I0	teardown	1788632766092618595	1788632766890336849	-
20	I0	analysis	1788632766890336849	1788632769284829813	-
20	I0	cooldown	1788632769286228135	1788632775519769367	quiescence=reached elapsed_ms=6218 sclk_forced=1 predicates=-
21	I0	launch	1788632775520892691	1788632783394654437	-
21	I0	request	1788632783394654437	1788632787325530304	-
21	I0	teardown	1788632787325530304	1788632788231299075	-
21	I0	analysis	1788632788231299075	1788632790634334620	-
21	I0	cooldown	1788632790635200539	1788632798626220967	quiescence=reached elapsed_ms=7977 sclk_forced=1 predicates=-
22	I1	launch	1788632798627275795	1788632806506031340	-
22	I1	request	1788632806506031340	1788632810475687961	-
22	I1	teardown	1788632810475687961	1788632811356001931	-
22	I1	analysis	1788632811356001931	1788632815116541868	-
22	I1	cooldown	1788632815117542115	1788632824003004585	quiescence=reached elapsed_ms=8865 sclk_forced=1 predicates=-
23	I1	launch	1788632824004123742	1788632831974055069	-
23	I1	request	1788632831974055069	1788632835854897098	-
23	I1	teardown	1788632835854897098	1788632836845886668	-
23	I1	analysis	1788632836845886668	1788632840542494693	-
23	I1	cooldown	1788632840543757225	1788632850378350281	quiescence=reached elapsed_ms=9820 sclk_forced=1 predicates=-
24	I0	launch	1788632850379539878	1788632858355740886	-
24	I0	request	1788632858355740886	1788632862173802262	-
24	I0	teardown	1788632862173802262	1788632863149618864	-
24	I0	analysis	1788632863149618864	1788632865569111244	-
24	I0	cooldown	1788632865570011897	1788632874130980407	quiescence=reached elapsed_ms=8546 sclk_forced=1 predicates=-
25	S	launch	1788632874132071702	1788632882603534395	-
25	S	request	1788632882603534395	1788632898800352546	-
25	S	teardown	1788632898800352546	1788632899601375335	-
25	S	analysis	1788632899601375335	1788632902116841311	-
25	S	cooldown	1788632902117700037	1788632902118469327	quiescence=skipped elapsed_ms=0 sclk_forced=1 predicates=-
-	-	campaign	1788632270759177304	1788632903836233230	-
