slot	arm	server_sha256	predicted_n	predicted_ms	tok_s	census_rows	sidecar	ownership	status	sclk_mode_mhz	sclk_share	regime_delta	clock_invariant	below_required_fraction
0a	W	70aa78bc0eed708ce8d06b690467affce3bb222014714af4dbd92e00fa5ff010	64	3608.437	17.459	-	on	-	completed	1100	1.0000	-	held	0.0000
1	P-nosidecar	70aa78bc0eed708ce8d06b690467affce3bb222014714af4dbd92e00fa5ff010	64	3546.682	17.763	-	off	-	completed	-	-	-	-	-
2	P	70aa78bc0eed708ce8d06b690467affce3bb222014714af4dbd92e00fa5ff010	64	3566.127	17.666	-	on	-	completed	1100	1.0000	-	held	0.0000
3	P	70aa78bc0eed708ce8d06b690467affce3bb222014714af4dbd92e00fa5ff010	64	3663.893	17.195	-	on	-	completed	1100	1.0000	-	held	0.0000
4	P-nosidecar	70aa78bc0eed708ce8d06b690467affce3bb222014714af4dbd92e00fa5ff010	64	3558.678	17.703	-	off	-	completed	-	-	-	-	-
5	P-nosidecar	70aa78bc0eed708ce8d06b690467affce3bb222014714af4dbd92e00fa5ff010	64	3575.973	17.618	-	off	-	completed	-	-	-	-	-
6	P	70aa78bc0eed708ce8d06b690467affce3bb222014714af4dbd92e00fa5ff010	64	3531.307	17.840	-	on	-	completed	1100	1.0000	-	held	0.0000
7	P	70aa78bc0eed708ce8d06b690467affce3bb222014714af4dbd92e00fa5ff010	64	3688.343	17.081	-	on	-	completed	1100	1.0000	-	held	0.0000
8	P-nosidecar	70aa78bc0eed708ce8d06b690467affce3bb222014714af4dbd92e00fa5ff010	64	3536.753	17.813	-	off	-	completed	-	-	-	-	-
9	P	70aa78bc0eed708ce8d06b690467affce3bb222014714af4dbd92e00fa5ff010	64	3569.568	17.649	-	on	-	completed	1100	1.0000	-	held	0.0000
10	I0	522e6367f49d5bdabf4d0cfc786b640b6766aad99b27d4f00a1c7d7d799ec8b5	64	3707.971	16.990	-	on	-	completed	1100	1.0000	-	held	0.0000
11	I0	522e6367f49d5bdabf4d0cfc786b640b6766aad99b27d4f00a1c7d7d799ec8b5	64	3655.669	17.234	-	on	-	completed	1100	1.0000	-	held	0.0000
12	P	70aa78bc0eed708ce8d06b690467affce3bb222014714af4dbd92e00fa5ff010	64	3539.291	17.800	-	on	-	completed	1100	1.0000	-	held	0.0000
13	P	70aa78bc0eed708ce8d06b690467affce3bb222014714af4dbd92e00fa5ff010	64	3617.982	17.413	-	on	-	completed	1100	1.0000	-	held	0.0000
14	I0	522e6367f49d5bdabf4d0cfc786b640b6766aad99b27d4f00a1c7d7d799ec8b5	64	3628.652	17.362	-	on	-	completed	1100	1.0000	-	held	0.0000
15	I0	522e6367f49d5bdabf4d0cfc786b640b6766aad99b27d4f00a1c7d7d799ec8b5	64	3549.419	17.749	-	on	-	completed	1100	1.0000	-	held	0.0000
16	P	70aa78bc0eed708ce8d06b690467affce3bb222014714af4dbd92e00fa5ff010	64	3764.804	16.734	-	refused	-	failed	1100	1.0000	-	held	0.0000
17	I0	522e6367f49d5bdabf4d0cfc786b640b6766aad99b27d4f00a1c7d7d799ec8b5	64	3584.183	17.577	-	on	-	completed	1100	1.0000	-	held	0.0000
18	I1	522e6367f49d5bdabf4d0cfc786b640b6766aad99b27d4f00a1c7d7d799ec8b5	64	3631.198	17.350	43608	on	conclusive	completed	1100	1.0000	-	held	0.0000
19	I1	522e6367f49d5bdabf4d0cfc786b640b6766aad99b27d4f00a1c7d7d799ec8b5	64	3528.762	17.853	43608	on	conclusive	completed	1100	1.0000	-	held	0.0000
20	I0	522e6367f49d5bdabf4d0cfc786b640b6766aad99b27d4f00a1c7d7d799ec8b5	64	3544.846	17.772	-	on	-	completed	1100	1.0000	-	held	0.0000
21	I0	522e6367f49d5bdabf4d0cfc786b640b6766aad99b27d4f00a1c7d7d799ec8b5	64	3667.846	17.176	-	on	-	completed	1100	1.0000	-	held	0.0000
22	I1	522e6367f49d5bdabf4d0cfc786b640b6766aad99b27d4f00a1c7d7d799ec8b5	64	3705.331	17.003	43608	on	conclusive	completed	1100	1.0000	-	held	0.0000
23	I1	522e6367f49d5bdabf4d0cfc786b640b6766aad99b27d4f00a1c7d7d799ec8b5	64	3615.323	17.426	43608	on	conclusive	completed	1100	1.0000	-	held	0.0000
24	I0	522e6367f49d5bdabf4d0cfc786b640b6766aad99b27d4f00a1c7d7d799ec8b5	64	3554.580	17.724	-	on	-	completed	1100	1.0000	-	held	0.0000
25	S	522e6367f49d5bdabf4d0cfc786b640b6766aad99b27d4f00a1c7d7d799ec8b5	64	15670.056	4.020	64	on	-	completed	1100	1.0000	-	held	0.0000
