monitor_start_utc=2026-09-04T04:12:05Z server_pid=2917223 sample_seconds=1 profile=low-async latency_watchdog_pid=2917791 kernel_hazard_watchdog_pid=2917800 guard_affinity=1 guard_nice=0
threshold_mem_available_kib=4194304 threshold_swapin_bytes_per_sample=67108864 report_temperature_millicelsius=90000
threshold_maximum_gpu_busy_percent=100 enforcement=terminate_on_sample_above_threshold
sample_utc=2026-09-04T04:12:05Z affinity=0 nice=19 rss_kib=176644 peak_rss_kib=176644 mem_available_kib=26016672 swapin_bytes=0 max_temp_millicelsius=82000 gpu_busy_percent=16 gtt_used_bytes=1202749440 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 400Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:12:06Z affinity=0 nice=19 rss_kib=177376 peak_rss_kib=177376 mem_available_kib=26023424 swapin_bytes=0 max_temp_millicelsius=80000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:12:07Z affinity=0 nice=19 rss_kib=180424 peak_rss_kib=180424 mem_available_kib=26028864 swapin_bytes=0 max_temp_millicelsius=79000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:12:09Z affinity=0 nice=19 rss_kib=180424 peak_rss_kib=180424 mem_available_kib=26028888 swapin_bytes=0 max_temp_millicelsius=78000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:12:10Z affinity=0 nice=19 rss_kib=180424 peak_rss_kib=180424 mem_available_kib=26028804 swapin_bytes=0 max_temp_millicelsius=77000 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:12:11Z affinity=0 nice=19 rss_kib=180424 peak_rss_kib=180424 mem_available_kib=26027896 swapin_bytes=0 max_temp_millicelsius=76000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:12:12Z affinity=0 nice=19 rss_kib=180424 peak_rss_kib=180424 mem_available_kib=26028336 swapin_bytes=0 max_temp_millicelsius=75000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:12:13Z affinity=0 nice=19 rss_kib=180424 peak_rss_kib=180424 mem_available_kib=26027756 swapin_bytes=0 max_temp_millicelsius=74000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:12:14Z affinity=0 nice=19 rss_kib=180424 peak_rss_kib=180424 mem_available_kib=26027492 swapin_bytes=0 max_temp_millicelsius=73875 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:12:15Z affinity=0 nice=19 rss_kib=180424 peak_rss_kib=180424 mem_available_kib=26027188 swapin_bytes=0 max_temp_millicelsius=73875 gpu_busy_percent=96 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:12:16Z affinity=0 nice=19 rss_kib=180424 peak_rss_kib=180424 mem_available_kib=26026852 swapin_bytes=0 max_temp_millicelsius=74125 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:12:17Z affinity=0 nice=19 rss_kib=180424 peak_rss_kib=180424 mem_available_kib=26026384 swapin_bytes=0 max_temp_millicelsius=74375 gpu_busy_percent=97 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:12:18Z affinity=0 nice=19 rss_kib=180424 peak_rss_kib=180424 mem_available_kib=26026524 swapin_bytes=0 max_temp_millicelsius=74625 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:12:19Z affinity=0 nice=19 rss_kib=180424 peak_rss_kib=180424 mem_available_kib=26026032 swapin_bytes=0 max_temp_millicelsius=74625 gpu_busy_percent=97 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:12:20Z affinity=0 nice=19 rss_kib=180424 peak_rss_kib=180424 mem_available_kib=26025680 swapin_bytes=0 max_temp_millicelsius=74500 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:12:21Z affinity=0 nice=19 rss_kib=180424 peak_rss_kib=180424 mem_available_kib=26026036 swapin_bytes=0 max_temp_millicelsius=74750 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:12:22Z affinity=0 nice=19 rss_kib=180424 peak_rss_kib=180424 mem_available_kib=26025244 swapin_bytes=0 max_temp_millicelsius=74750 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:12:23Z affinity=0 nice=19 rss_kib=180424 peak_rss_kib=180424 mem_available_kib=26025152 swapin_bytes=0 max_temp_millicelsius=74750 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:12:24Z affinity=0 nice=19 rss_kib=180424 peak_rss_kib=180424 mem_available_kib=26024540 swapin_bytes=0 max_temp_millicelsius=74750 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:12:25Z affinity=0 nice=19 rss_kib=180424 peak_rss_kib=180424 mem_available_kib=26024404 swapin_bytes=0 max_temp_millicelsius=75125 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
