slot	arm	tok_s	sclk_mode_mhz	mclk_mode_mhz	temp_mean_c	temp_max_c	busy_mean_percent	samples	sclk_share
1	C	9.738	1100	933	71.5	73.0	94.58	355	1.0000
2	K	9.462	1100	933	75.1	76.0	91.69	366	1.0000
3	K	9.081	1100	933	77.2	78.0	89.79	380	1.0000
4	C	9.065	1100	933	78.8	80.0	90.09	380	1.0000
5	C	9.646	1100	933	78.1	80.0	93.90	359	1.0000
6	K	9.157	1100	933	79.8	81.0	89.60	377	1.0000
7	K	9.263	1100	933	80.8	82.0	89.96	374	1.0000
8	C	9.327	1100	933	80.2	81.0	92.25	365	1.0000
0a	W	9.661	1100	933	72.7	74.0	94.55	358	1.0000
