slot	arm	phase	begin_ns	end_ns	note
0a	W	launch	1788385177535131001	1788385186608279661	-
0a	W	request	1788385186608279661	1788385193760081613	-
0a	W	teardown	1788385193760081613	1788385194630397318	-
0a	W	analysis	1788385194630397318	1788385194799813860	-
0a	W	cooldown	1788385194800596818	1788385216163868443	quiescence=reached elapsed_ms=21354 sclk_forced=1
1	C	launch	1788385216168306534	1788385224281782000	-
1	C	request	1788385224281782000	1788385231379967791	-
1	C	teardown	1788385231379967791	1788385232194162769	-
1	C	analysis	1788385232194162769	1788385232358971181	-
1	C	cooldown	1788385232359769038	1788385256178871000	quiescence=reached elapsed_ms=23809 sclk_forced=1
2	K	launch	1788385256188209562	1788385267209806123	-
2	K	request	1788385267209806123	1788385274524461781	-
2	K	teardown	1788385274524461781	1788385275493415039	-
2	K	analysis	1788385275493415039	1788385275643152777	-
2	K	cooldown	1788385275643904609	1788385284389291626	quiescence=reached elapsed_ms=8735 sclk_forced=1
3	K	launch	1788385284394353558	1788385296186860498	-
3	K	request	1788385296186860498	1788385303772580875	-
3	K	teardown	1788385303772580875	1788385304874061322	-
3	K	analysis	1788385304874061322	1788385305017174805	-
3	K	cooldown	1788385305018372770	1788385312164160142	quiescence=reached elapsed_ms=7133 sclk_forced=1
4	C	launch	1788385312170106747	1788385323763775423	-
4	C	request	1788385323763775423	1788385331374901564	-
4	C	teardown	1788385331374901564	1788385332210629901	-
4	C	analysis	1788385332210629901	1788385332359643806	-
4	C	cooldown	1788385332360812727	1788385339484294413	quiescence=reached elapsed_ms=7112 sclk_forced=1
5	C	launch	1788385339490916492	1788385349964757347	-
5	C	request	1788385349964757347	1788385357128202161	-
5	C	teardown	1788385357128202161	1788385357819258960	-
5	C	analysis	1788385357819258960	1788385357953147873	-
5	C	cooldown	1788385357954034148	1788385364474350714	quiescence=reached elapsed_ms=6510 sclk_forced=1
6	K	launch	1788385364482229623	1788385375442088493	-
6	K	request	1788385375442088493	1788385382964178377	-
6	K	teardown	1788385382964178377	1788385384175812088	-
6	K	analysis	1788385384175812088	1788385384320018612	-
6	K	cooldown	1788385384321073582	1788385394522697756	quiescence=reached elapsed_ms=10193 sclk_forced=1
7	K	launch	1788385394528034922	1788385405468110719	-
7	K	request	1788385405468110719	1788385412952953492	-
7	K	teardown	1788385412952953492	1788385414073455549	-
7	K	analysis	1788385414073455549	1788385414223589267	-
7	K	cooldown	1788385414224406023	1788385421527117006	quiescence=reached elapsed_ms=7287 sclk_forced=1
8	C	launch	1788385421533219925	1788385432218763132	-
8	C	request	1788385432218763132	1788385439617767320	-
8	C	teardown	1788385439617767320	1788385440734025578	-
8	C	analysis	1788385440734025578	1788385440906008085	-
8	C	cooldown	1788385440906823819	1788385447831932628	quiescence=reached elapsed_ms=6909 sclk_forced=1
-	-	campaign	1788385177518156464	1788385447879817216	-
