arm	status	exit_status	timed_out	binary_sha256	model_sha256	device_name	backend	prompt_sha256	negative_prompt_sha256	seed	width	height	steps	sampler	cfg_scale	wall_load_s	text_encoder_s	diffusion_s	vae_s	total_generate_s	residual_encode_overhead_s	shell_wall_s	rss_peak_kib	pss_peak_kib	mem_available_min_kib	swap_free_delta_kib	vram_used_bytes	gtt_used_bytes	mclk_modal_mhz	temp_millidegrees_max	ring_resets	gpu_faults	dmesg_state	png_path	png_sha256	taesd_sha256
cold	completed	0	0	4eb6d155c8b1e077de5613a7282410d78c2fc984e9c3aedf9287c0aa788817c8	bf0c567f5214a400f9f1b3f562d1b01f3266d7824e403977a9b900175529b7cc	Vulkan0	te=Vulkan0,vae=Vulkan0,diffusion=Vulkan0	e7a8c5d5a47abb487bf2fad632ba28140634892620278d13cb146b252636bd24	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	42	512	512	1	euler	1.0	unavailable	2.31	3.93	3.72	9.98	0.020	12.430	2088	151	11253008	0	2027331584	1862901760	933	87000	0	0	captured	$HOME/worktrees/qwen-apu/device-campaigns-20260903/evidence/image-appliance/phase-timing/invocation-1/cold.png	a9491c82599937f9dd5320be4642366a35689c4794f450bb772fa298646ce143	d7956d561b1efbd861ad9b03fd8f01510f9e87eddc07bdfd20837009433f6ee5
warm	completed	0	0	4eb6d155c8b1e077de5613a7282410d78c2fc984e9c3aedf9287c0aa788817c8	bf0c567f5214a400f9f1b3f562d1b01f3266d7824e403977a9b900175529b7cc	Vulkan0	te=Vulkan0,vae=Vulkan0,diffusion=Vulkan0	e7a8c5d5a47abb487bf2fad632ba28140634892620278d13cb146b252636bd24	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	42	512	512	1	euler	1.0	unavailable	1.71	3.89	3.82	9.44	0.020	11.632	2084	148	11550252	0	2026467328	1856610304	933	87000	0	0	captured	$HOME/worktrees/qwen-apu/device-campaigns-20260903/evidence/image-appliance/phase-timing/invocation-1/warm.png	a9491c82599937f9dd5320be4642366a35689c4794f450bb772fa298646ce143	d7956d561b1efbd861ad9b03fd8f01510f9e87eddc07bdfd20837009433f6ee5
