2088	151	13119168	41515624
2088	151	13100468	41515624
2088	151	13097892	41515624
2088	151	13016600	41515624
2088	151	12974664	41515624
2088	151	12995512	41515624
2088	151	12917652	41515624
2088	151	12961536	41515624
2088	151	12960648	41515624
2088	151	12975984	41515624
2088	151	12982956	41515624
2088	151	12585396	41515624
2088	151	11918124	41515624
2088	151	11975280	41515624
2088	151	12006848	41515624
2088	151	12007172	41515624
2088	151	12005396	41515624
2088	151	12004564	41515624
2088	151	12037324	41515624
2088	151	12037084	41515624
2088	151	12038448	41515624
2088	151	12026684	41515624
2088	151	12029412	41515624
2088	151	12029588	41515624
2088	151	12036708	41515624
2088	151	12045284	41515624
2088	151	12045284	41515624
2088	151	12041640	41515624
2088	151	12041640	41515624
2088	151	12049488	41515624
2088	151	12049264	41515624
2088	151	12049116	41515624
2088	151	12048620	41515624
2088	151	12047976	41515624
2088	151	12056000	41515624
2088	151	12056000	41515624
2088	151	12055852	41515624
2088	151	12055852	41515624
2088	151	12055852	41515624
2088	151	12063444	41515624
2088	151	12063348	41515624
2088	151	11253008	41515624
2088	151	11715288	41515624
2088	151	11715228	41515624
2088	151	11655836	41515624
2088	151	11575084	41515624
2088	151	11575168	41515624
2088	151	11575008	41515624
2088	151	11573792	41515624
2088	151	11573792	41515624
2088	151	11573792	41515624
2088	151	11573792	41515624
2088	151	11573792	41515624
2088	151	11573912	41515624
2088	151	11573912	41515624
2088	151	11573912	41515624
2088	151	11573912	41515624
2088	151	11573912	41515624
