layer	control	candidate	state
spirv_sha256	5b149b211ed2739f170d764efb9782c6a3bb6ae8399512ba8dc0c681c62cfdc8	85182568b73da80661e405e393d17f6298e65b6c17bc60e9309a5c56fc520c5b	changed
nir_sha256	7ace068a9ca4c82d55671259d88b1745de28a84c23ee2cd757ed0a68106a39bd	460af8ac4878568ae9c19c13d985453ffec6765dd49ba34e733f14cd07dcff5e	changed
isa_sha256	ad837848d58d6167f3638a9d2bbbbe276f37b4cd282559f77ef42c7d03af2f61	29454587729e13128b02be3e6b9ea8667bbc30aef78da07cc3ed082a50185a1d	changed

field	before	after	delta
vgprs	64	64	+0
sgprs	48	48	+0
spilled_vgprs	0	0	+0
spilled_sgprs	0	0	+0
lds	0	0	+0
scratch	0	0	+0
code_size	6764	6480	-284
waves_per_simd	-	-	-
instruction_lines	1436	1365	-71
valu	882	810	-72
salu	414	414	+0
vmem	56	56	+0
smem	37	38	+1
lds_instructions	0	0	+0
waitcnt	82	84	+2
barrier	0	0	+0
v_cvt_f32_ubyte	192	192	+0
v_bfe	2	2	+0
v_lshrrev_b32	32	32	+0
v_lshlrev_b32	16	16	+0
v_and_b32	54	54	+0
v_perm_b32	0	0	+0
sdwa_operand_uses	16	16	+0
dpp_uses	32	32	+0
v_mul_lo_u32	0	0	+0
v_mad_u32_u24	0	0	+0
v_mad_i32_i24	0	0	+0
v_mul_u32_u24	0	0	+0
v_fma_f32	0	0	+0
v_mac_f32	248	152	-96
v_mad_mix_f32	0	0	+0
v_pk_fma_f16	0	0	+0
v_cvt_f32_f16	16	16	+0

verdict	isa_changed
first_divergence	spirv
last_divergence	isa
harness_alarm	-
