field	value	per_superblock
run_mode	device	-
spirv_path	$HOME/e1-lab-20260902/spv/e4.spv	-
spirv_sha256	7b425720b46ed355b8b1405df0237e386d063a21eed9ed4dec6f4e188f308c2c	-
spirv_bytes	20928	-
nir_sha256	376770f6eaac7fdc5fbbb70ceba26fc3cd9e71a01f3faddcd97e716298a4e5ea	-
isa_sha256	ad9e672ec248f452e4af4e873976517ad9270475c70ce5731c50e9d32f325662	-
device_name	AMD Radeon Graphics (RADV RAVEN2)	-
driver_name	radv	-
driver_info	Mesa 26.2.1+git2608201115.88947685514~n~mesarc0	-
device_api_version	1.4.354	-
spirv_capabilities	Shader,Int8,StorageBuffer16BitAccess,StorageBuffer8BitAccess	-
features_enabled	shaderInt8,storageBuffer16BitAccess,storageBuffer8BitAccess,subgroupSizeControl,computeFullSubgroups	-
robust_buffer_access	off	-
spec_constants	0:64,1:4,2:1	-
bindings	5	-
push_constant_bytes	52	-
subgroup_size_requested	64	-
subgroup_size_min	64	-
subgroup_size_max	64	-
per_superblock_divisor	256	-
vgprs	64	-
sgprs	48	-
spilled_vgprs	0	-
spilled_sgprs	0	-
lds	1024	-
scratch	0	-
code_size	7536	-
waves_per_simd	-	-
instruction_lines	1559	6.0898
valu	818	3.1953
salu	412	1.6094
vmem	56	0.2188
smem	38	0.1484
lds_instructions	134	0.5234
waitcnt	138	0.5391
barrier	0	0.0000
v_cvt_f32_ubyte	192	0.7500
v_bfe	2	0.0078
v_lshrrev_b32	32	0.1250
v_lshlrev_b32	23	0.0898
v_and_b32	54	0.2109
v_perm_b32	0	0.0000
sdwa_operand_uses	16	0.0625
dpp_uses	0	0.0000
v_mul_lo_u32	0	0.0000
v_mad_u32_u24	0	0.0000
v_mad_i32_i24	0	0.0000
v_mul_u32_u24	0	0.0000
v_fma_f32	0	0.0000
v_mac_f32	152	0.5938
v_mad_mix_f32	0	0.0000
v_pk_fma_f16	0	0.0000
v_cvt_f32_f16	16	0.0625
