slot	arm	phase	begin_ns	end_ns	note
0a	W	launch	1788491410583260862	1788491416996747821	-
0a	W	request	1788491416996747821	1788491420632789471	-
0a	W	teardown	1788491420632789471	1788491421492289214	-
0a	W	analysis	1788491421492289214	1788491421713561020	-
0a	W	cooldown	1788491421715032793	1788491435768974883	quiescence=reached elapsed_ms=14042 sclk_forced=0
0b	W	launch	1788491435774434712	1788491442104588125	-
0b	W	request	1788491442104588125	1788491445759180342	-
0b	W	teardown	1788491445759180342	1788491446676435325	-
0b	W	analysis	1788491446676435325	1788491446926794700	-
0b	W	cooldown	1788491446928278904	1788491459128671499	quiescence=reached elapsed_ms=12189 sclk_forced=0
0c	W	launch	1788491459134182263	1788491465394059471	-
0c	W	request	1788491465394059471	1788491469034399982	-
0c	W	teardown	1788491469034399982	1788491469939125809	-
0c	W	analysis	1788491469939125809	1788491470174722309	-
0c	W	cooldown	1788491470175998820	1788491481657881079	quiescence=reached elapsed_ms=11472 sclk_forced=0
0d	W	launch	1788491481663356832	1788491487935401417	-
0d	W	request	1788491487935401417	1788491491585233639	-
0d	W	teardown	1788491491585233639	1788491492489997063	-
0d	W	analysis	1788491492489997063	1788491492723240662	-
0d	W	cooldown	1788491492724143148	1788491504809250904	quiescence=reached elapsed_ms=12075 sclk_forced=0
0e	W	launch	1788491504816623591	1788491511122858048	-
0e	W	request	1788491511122858048	1788491514772669160	-
0e	W	teardown	1788491514772669160	1788491515700662940	-
0e	W	analysis	1788491515700662940	1788491515934126722	-
0e	W	cooldown	1788491515935559785	1788491526982931408	quiescence=reached elapsed_ms=11036 sclk_forced=0
0f	W	launch	1788491526988540881	1788491533325421319	-
0f	W	request	1788491533325421319	1788491536960663436	-
0f	W	teardown	1788491536960663436	1788491537875002587	-
0f	W	analysis	1788491537875002587	1788491538100714583	-
0f	W	cooldown	1788491538102224619	1788491549107544952	quiescence=reached elapsed_ms=10994 sclk_forced=0
0g	W	launch	1788491549113239316	1788491555519992251	-
0g	W	request	1788491555519992251	1788491559149210236	-
0g	W	teardown	1788491559149210236	1788491560062326738	-
0g	W	analysis	1788491560062326738	1788491560301723831	-
0g	W	cooldown	1788491560303145745	1788491571020906628	quiescence=reached elapsed_ms=10707 sclk_forced=0
0h	W	launch	1788491571027067937	1788491577331477713	-
0h	W	request	1788491577331477713	1788491580955797930	-
0h	W	teardown	1788491580955797930	1788491581843822279	-
0h	W	analysis	1788491581843822279	1788491582072169979	-
0h	W	cooldown	1788491582073700708	1788491592825381064	quiescence=reached elapsed_ms=10739 sclk_forced=0
0i	W	launch	1788491592831715644	1788491599043683021	-
0i	W	request	1788491599043683021	1788491602673333816	-
0i	W	teardown	1788491602673333816	1788491603603722840	-
0i	W	analysis	1788491603603722840	1788491603849923828	-
0i	W	cooldown	1788491603851312344	1788491615103950518	quiescence=reached elapsed_ms=11241 sclk_forced=0
0j	W	launch	1788491615109391430	1788491621493966655	-
0j	W	request	1788491621493966655	1788491625132325609	-
0j	W	teardown	1788491625132325609	1788491626039128858	-
0j	W	analysis	1788491626039128858	1788491626277770266	-
0j	W	cooldown	1788491626279110655	1788491637090779051	quiescence=reached elapsed_ms=10799 sclk_forced=0
0k	W	launch	1788491637096232173	1788491643468258903	-
0k	W	request	1788491643468258903	1788491647075650348	-
0k	W	teardown	1788491647075650348	1788491647996486689	-
0k	W	analysis	1788491647996486689	1788491648243721645	-
0k	W	cooldown	1788491648245076136	1788491659305935644	quiescence=reached elapsed_ms=11051 sclk_forced=0
0l	W	launch	1788491659311923508	1788491665679423723	-
0l	W	request	1788491665679423723	1788491669309408018	-
0l	W	teardown	1788491669309408018	1788491670224080788	-
0l	W	analysis	1788491670224080788	1788491670466995428	-
0l	W	cooldown	1788491670468550533	1788491681414773336	quiescence=reached elapsed_ms=10934 sclk_forced=0
0m	W	launch	1788491681421255188	1788491687686210793	-
0m	W	request	1788491687686210793	1788491691296694401	-
0m	W	teardown	1788491691296694401	1788491692206637850	-
0m	W	analysis	1788491692206637850	1788491692447000647	-
