monotonic_ns	tctl_millidegrees	edge_millidegrees	freq1_hz
503502540246133	63250	63000	1100000000
503503540600416	64125	64000	1100000000
503504551607367	65375	65000	1100000000
503505552346076	64250	64000	1100000000
503506553065477	63750	63000	1100000000
503507554255693	64125	64000	1100000000
503508554886085	63625	63000	1100000000
503509555397490	62125	62000	1100000000
503510556102990	60875	60000	1100000000
503511556844983	60250	60000	1100000000
503512557590686	60000	60000	1100000000
503513558339538	61000	61000	1100000000
503514559074011	61250	61000	1100000000
503515559897917	62125	62000	1100000000
503516560661780	62500	62000	1100000000
503517561323539	62875	62000	1100000000
503518562156207	63125	63000	1100000000
503519563377403	63375	63000	1100000000
503520563717428	63875	63000	1100000000
503521564379400	64125	64000	1100000000
503522565154753	64500	64000	1100000000
503523565862379	64875	64000	1100000000
503524566604614	65250	65000	1100000000
503525567372549	65500	65000	1100000000
503526568133417	65750	65000	1100000000
503527568874723	66000	66000	1100000000
503528569633493	66250	66000	1100000000
503529570402719	66375	66000	1100000000
503530571219108	66875	66000	1100000000
503531571911938	67125	67000	1100000000
503532572620343	75750	75000	1100000000
