model_id	role	model_file	model_path	context	batch	ubatch	cache_k	cache_v	flash_attention	ctx_checkpoints	checkpoint_min_step	target_tok_s	publisher_bytes	publisher_sha256	source_repository	source_revision	model_bytes	model_sha256
qwen35-08b	compact-text	Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-Q8_0.gguf	$HOME/Github/qwen-apu/.runtime/models/Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-Q8_0.gguf	8192	128	32	q8_0	q4_0	on	2	8192	20	833592096	37ae482d336108d23516fa35e8e0c4126688d81018b87178a18d752a1357814f	ggml-org/Qwen3.5-0.8B-GGUF	8fea620810c4afa23dd6443f999a48574c1611a3	833592096	37ae482d336108d23516fa35e8e0c4126688d81018b87178a18d752a1357814f
qwen38-2b-distill	fast-text	Qwen3.8-2B-Distill-GGUF/Qwen3.8-2B-Q4_K_M.gguf	$HOME/Github/qwen-apu/.runtime/models/Qwen3.8-2B-Distill-GGUF/Qwen3.8-2B-Q4_K_M.gguf	24576	128	32	q8_0	q4_0	on	2	8192	10	1312164224	4aa0fb13c431514262f259d420ecc95a8714df58ac2a2384514e20b93983f0ff	empero-ai/Qwen3.8-2B-Distill-GGUF	f4f73582d0b149595450c719b9a7521a03894f9c	1312164224	4aa0fb13c431514262f259d420ecc95a8714df58ac2a2384514e20b93983f0ff
qwen38-4b-distill	balanced-text	Qwen3.8-4B-Distill-GGUF/Qwen3.8-4B-Q4_K_M.gguf	$HOME/Github/qwen-apu/.runtime/models/Qwen3.8-4B-Distill-GGUF/Qwen3.8-4B-Q4_K_M.gguf	24576	128	32	q8_0	q4_0	on	2	8192	5.25	2783446304	dec96e8cf2e11b613bb46513dec485377f9ca5a351e71712ee0e244f287c6790	empero-ai/Qwen3.8-4B-Distill-GGUF	391fc7d103e3942a408def3e4f51c2f85d464417	2783446304	dec96e8cf2e11b613bb46513dec485377f9ca5a351e71712ee0e244f287c6790
