slot	block	direction	model_id	role	target_tok_s	target_state	context	batch	ubatch	cache_k	cache_v	flash_attention	ctx_checkpoints	checkpoint_min_step	vulkan_profile	prompt_tokens	prompt_ms	prefill_tok_s	decode_tokens	predicted_ms	reported_tok_s	recomputed_tok_s	request_status	teardown_status	child_valid	model_bytes	model_sha256	inputs_sha256	launch_sha256	teardown_sha256	session_status_sha256	server_process_sha256	runtime_inputs_sha256	server_log_sha256	telemetry_log_sha256	graphics_latency_log_sha256	kernel_hazards_log_sha256	campaign_runner_stdout_sha256	campaign_runner_stderr_sha256	request_sha256	response_sha256	child_summary_sha256	arm_directory
1	1	forward	qwen35-08b	compact-text	20	unmet	8192	128	32	q8_0	q4_0	on	2	8192	low-async	19	289.065	65.72916126130801	64	3504.591	17.976420072984265	17.976420072984	0	0	true	833592096	37ae482d336108d23516fa35e8e0c4126688d81018b87178a18d752a1357814f	6662731e92d580a7354ed6ff4b03a6705782146f392c2ddd7dbc7e55000611d1	5173538eb6d7f1217b38da0df5186c2fe84337e5e5a70005fc11634d0e35294a	0c765548da38c3a91978faf9566ca34e3b8953fd93921db2877713441b47f161	67c6241ed3b2fc6bf1fd9ac4040268c850157c1b69f40e5eaed1c302252f8d42	32c14766b7e8e22a719a562abe99570b9e60bb6dfc94942ecc2250891f4db065	5b3f8d0f117152c30eaa53220930a7b3cddd13b05bd7e2a908ffd07d9459d301	5180f28f0558732395dbe40f5e3dd88b2277d0cebca9852651c2064a02471a42	db6529a09c9251a95a60194a8e04fbc7d0e83bb781b6f1ccac41f7ff7378b865	3d0f01e0e84a27281d757ec928716e8f22f37684f4d50c98f8bc1322876c44d8	4b482cd4073c94341e939eda5dd9c0b639e4bedc8cdd3ef830dce06103d4890c	e6c10b9894e7cbda2583b9f6663f12f0ee5a9317f3ebe2435aa2eebcce8f6a11	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	311337b08fe1c162ed20fb7642812d90517bf381795bd8b7ee0e895fc5644714	f0622bd7866c76e0f78d154a4a03fb7bdbb0c12f41abb5d8f118f4b514c639cf	8acbd5bab8834dc4e991af08137eee2fdd287bdd30514c323a6fe1819b502594	arms/01-forward-qwen35-08b
2	1	forward	qwen38-2b-distill	fast-text	10	met	24576	128	32	q8_0	q4_0	on	2	8192	low-async	19	665.898	28.532898431891972	64	6206.246	10.15106394429096	10.151063944291	0	0	true	1312164224	4aa0fb13c431514262f259d420ecc95a8714df58ac2a2384514e20b93983f0ff	38459d8cbba4f4205f0627768fdc04f191f2787bcd6f6f566bb38c437b88b57c	33f1ae5172e570a8557c9cfa8f945f56d05766342da7dd5017bf57fe57d05221	a4bab22345ff30b6d26d5d51516e2b65012bf5af3012febf1cd11f0b1e4c93bf	0eaadec053f1c89c5d609c38d00878efc47a987087d422f5cf95f2218b7e77f5	aa7f54ba3f225c15fecc3f2f1d44b429b6d0e0e0d191f62d2bd5dbe4367a4440	030c408de5474c4ea4c6abaeb71f8b27f8643e2ce8413ca0bd99a192032ab031	b0c8c7e5e83db56a2f083fae2bea1df28a2697d0ee4397d0f00f12e02e95f4cd	5ab8dca382b8e307df1f90b70c597c26fcc9c04c79c8ac27a3a6886aa607b28e	78602babfb8c0544db1fc72345c440ce1ba89c8bf3268aa36026f0f56a67c3e7	7b785fdf37c6e741c01e6b4ae2a1316ab69bcd7a1c1cdec3121f925248dbfaa6	2a53659080f998a9acca6826be25a8f2b294dbc2f77874c9a1af72c81f995d3f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	311337b08fe1c162ed20fb7642812d90517bf381795bd8b7ee0e895fc5644714	61bc29e61b3030058ed6faa0f40782aef3dbbfaadaaceaffd581b6068564155f	21c352edb46f6edeceac824ad90c3840fe88b96b90d2c5d8d069eeb2f6eacbc5	arms/02-forward-qwen38-2b-distill
3	1	forward	qwen38-4b-distill	balanced-text	5.25	unmet	24576	128	32	q8_0	q4_0	on	2	8192	low-async	19	1645.622	11.545786334893432	64	17709.073	3.557498464205326	3.557498464205	0	0	true	2783446304	dec96e8cf2e11b613bb46513dec485377f9ca5a351e71712ee0e244f287c6790	65d00b341ea73807907e9c6cf72171d5d93c6b18beec89fe64b0d77edfc85bd6	0241f8fe15c1e785a5da7f0d74fa117e0a7b0e0195230d4d627d6706948f2669	41b8134cdaee3a6ccdf5b3e2de8065394c3c1594411ae3b9cdc881e8d8415c68	9429fe2ed723ef46df88ac9863a8fedd77e02126471b0c9dbb381d28dcc15df9	24d2424da2f15febc020c4066fbfbf048ec5fa52035b82e941e09fb12c8a4c06	a4a4a878191e4b63117c0d8b44d0aec5854d687d4158bde81f3a20a2985549da	3021f07d8d29c3bc1fe8af27e3bf3d4d899c10a499f0d0780dc7a803e477c79e	8237d2e5a2871abaaaf7d7895c3c07979ba4ef3dc2660a263d4f2f19706413b0	d1397669c2bc3b1f2628e2e1341e3547de10ebdc28a6bedbe1bbe5b11142bf2d	b4a93d7653ddfae95fc5b106c8614d0ed620cd69f9302f440359bd5b69b236fa	1d593a85e528575fd983e7b69008c4e771dddfbb6a66d2c4f1c0a388327977f2	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	311337b08fe1c162ed20fb7642812d90517bf381795bd8b7ee0e895fc5644714	17a1eff1f7c1dc4da4b1761c5899fedc61a839aebe2fd3e97a55d478b3635f0f	3826d0f1337c384078674959fd23a6a1418f07f37d18b7094c2bb18de9306626	arms/03-forward-qwen38-4b-distill
4	2	forward	qwen35-08b	compact-text	20	unmet	8192	128	32	q8_0	q4_0	on	2	8192	low-async	19	287.094	66.18041477704166	64	3650.81	17.256444460270462	17.256444460270	0	0	true	833592096	37ae482d336108d23516fa35e8e0c4126688d81018b87178a18d752a1357814f	43a385945846e034d2145d1132f4fe26485a8ddde675ea7117ed96219f91a99c	160009de1fd8d81b08a634bafedc8a7fad7804e6b86df001d3ed5c5c8b1fd698	61a45e246f314e12ce2dd5fbafd6e0e8e02f94e29d225780f19118634d6ccdae	c6ed7dab71ebb1abc3f49f4131c535e80b7c478b3fb32ab419b502157cca0645	5df8809feccbea06c6115e3b16652a04cac493f0e394d421ebcdbe0098a8c4d3	3f2bae66a21228fc75f4349b7570a6a556572a4f4552d75d40d48fa200746b02	b85f236e6f559fd45ec3c6243419c815d6ff349127eebce93dd1ed3455eb1c53	3f0044b20819ffda04df2653d9dbe296822e2682095b4c79857598b166a048d7	3cb3dc9859f59a9f7fda3918fc481d0ed2ec26c6345734a95c8bc710330b2067	a017f8c21cb67c99bed604398c92689e0f7586adce4b890c93402f7906490920	99d47d2bcdcc06dec641ae32e01c3ffdbf882515b249299c7cb68ee79a977c67	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	311337b08fe1c162ed20fb7642812d90517bf381795bd8b7ee0e895fc5644714	c48021db9be15c62c85c1f5b95fe7bd41941de7e63a52948b196891f281c07eb	bc391ba486811362eb079c5f050f522f0b6d31f9065c3e6156c78ad434dafd59	arms/04-forward-qwen35-08b
5	2	forward	qwen38-2b-distill	fast-text	10	met	24576	128	32	q8_0	q4_0	on	2	8192	low-async	19	667.479	28.465315013655857	64	6251.521	10.077547528033579	10.077547528034	0	0	true	1312164224	4aa0fb13c431514262f259d420ecc95a8714df58ac2a2384514e20b93983f0ff	2954c5fcb29ac6ab8e194ff0029bef5fa2e359827911a91709a724a2ab5b2835	30911a3314c239b3f19bb780cbe99f8444a49f434055f7d04c5bcc0a83b1c0fa	73d6727fa760e79d80450423b7ea5e88d8fc5968182f91d4aa9b0a1c6249eeda	2c133e4daee3ac003f2559490b5a233bc23a86540813749963a86903f194a927	5561b7e004cfb609e0d0638c65ce8669e491a514ec783cdc182afcf40d9049b1	f1921945590a8b8df80f6667273b7125b7484c4d79775f466c22ddc640eedb69	86516673d57c1012963754afa3e30b4e3b03fb88eaeb1a9299acc5397a2dafc4	7cd6c1bac74d14b897807729ebe87b498ab17618e70021445f41f3cd8802021e	55f61b6a313aff7f8ca6377991954ceeb0377e91cb0b5e672f5932b3da6d1136	2eccf1a869cc6d6f160e67cd5fa53af830fdc311f71cbde5885b23b77da966ff	71507ac662a0008fa4d91dea28770d5fd04a4b2e2db7bb9dd36a930f42b02775	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	311337b08fe1c162ed20fb7642812d90517bf381795bd8b7ee0e895fc5644714	029a6d42ab31868724a972809353ee445c505a33ecfe38beab764ca5bf6ee2a3	b2fc9b5e314a136607a44b8fb2816ccd666b161c4f695099e37361515bfdb4e0	arms/05-forward-qwen38-2b-distill
6	2	forward	qwen38-4b-distill	balanced-text	5.25	unmet	24576	128	32	q8_0	q4_0	on	2	8192	low-async	19	1630.251	11.654647045148263	64	17553.822	3.5889619935760995	3.588961993576	0	0	true	2783446304	dec96e8cf2e11b613bb46513dec485377f9ca5a351e71712ee0e244f287c6790	fcea877d9a5af185104ac27c5007a49276298407d38b20615b2d98b5902c2980	be93e7ca31a4dacf2180b3e8ad4b3f7f6cad5080dd26d973b0c5bc8cbfb76d2d	93baa2868404ac47bc54dd979adb7eb337bec63fe719e566d412afa4b38cc74a	63236794ee87497eb5fbe126a1dd06db63bdb8ac4310d5fbdf48e689908662e8	9df6cb2ec0af39125843a53227f339091e7f3129656673190a2b26a681928ed3	5fb97bf6dc339d807d41993ebf49a44e0dc252fcaeb160ebaa6ea3b443467959	7bd56cc9a3fd820970fc19c93b344025af647c9cae2da659114575ec82381359	fec2884764444ae3120343de404ea6a4422d8a7e91ae309ec147db0818b40e98	7a616f7c4e54e8975d44f08db7395069d6d676faa5bca5880f9c2001a2c9d70f	a7cdbbe1e921697bd490bfc3ec51e34c52b8a4428fc695413fc71508471167d9	0d6d4ba01d8ec3cbfd6cd8031c25b14f9abb3de12aaef6109113585f8c6125d8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	311337b08fe1c162ed20fb7642812d90517bf381795bd8b7ee0e895fc5644714	19543288431c4d875fa4352448cdb004f61218662f8aa8c59f7090735e4a6de8	e5f3ea7fbd7be0c1e554762bcf5c60b3431d614ce0fb7608687cf682e6b10716	arms/06-forward-qwen38-4b-distill
7	3	reverse	qwen38-4b-distill	balanced-text	5.25	unmet	24576	128	32	q8_0	q4_0	on	2	8192	low-async	19	1633.615	11.630647367953893	64	17563.296	3.5870260342933356	3.587026034293	0	0	true	2783446304	dec96e8cf2e11b613bb46513dec485377f9ca5a351e71712ee0e244f287c6790	1e5ebebed0e313a53e75aff674ed3a918df404f528693712ed83ceaa6821ac9f	24280c4554d919d4bf90601329746cdf8d5b3dab66b26883892fc0c39df5ecbe	0edb41b0ebd1c16efb323714a3adc1d9e6ebffd8fc4c5a70e90be26a9dd2c9a5	bdddd270a6a2f25879a4013aba7ed3f060a475107b4ec3637f86aadb7c9ac69d	d38d72c4a830d47bf6a23c30b9653aa8725c71d046c48333b4dfb897a31566a5	252f14ab2a77bdc38627ff67d22be217bb37a1516eb21e6a1e7b4cd8d84df5ad	5cec39bda72e0e3383e26c43d69fe68bbabf4239dca35f1a1d099c3d55d8959f	125f734c69f9cdaaa7ef2a95844ff8c89e80965957774159f9ef14f15f641298	1892c303b2ca04400cb51dbece920b1e8976dbed046a499ca6f69b313d30e509	b8bc847cf3a4684baa7f738b3dbf7881513d45e14da5b00a16143cc6e935bdf6	27cdb7796694540393d7bc5ee49f6ef6e903956c33bb28c51805472eaae978cd	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	311337b08fe1c162ed20fb7642812d90517bf381795bd8b7ee0e895fc5644714	bf40a33d8f55a4e126b2f6062bd0e8a4a6b1203a53e1da96e8ee5d002f94b5f1	e05d7e93031ece5dcd1669da01271439f840648eed31e9ee3799d699556d1329	arms/07-reverse-qwen38-4b-distill
8	3	reverse	qwen38-2b-distill	fast-text	10	met	24576	128	32	q8_0	q4_0	on	2	8192	low-async	19	664.591	28.58901188851489	64	6201.803	10.158336212872289	10.158336212872	0	0	true	1312164224	4aa0fb13c431514262f259d420ecc95a8714df58ac2a2384514e20b93983f0ff	ebcc9c425ac16102045e9d13a72234c78e7073af69dd845697356f39a9f7fbb1	088921bf3f8a8d118bcc220fbc6dcd0e0460d36f3cad3a3a629af2a4a88203a8	bcd873bb988edf8a5b1ea818933e0802866bdf02f2a0201699007a5b3194da36	d629a95f7e9b314664523644882d65e1cf2447b74000ede45285fb32519ac4f8	38485bcc1e38ebbbe9fc38ceb6c626d3cdf57fed483aeca36767de56de5bc33f	d3fb0b720ae801ba031547f878cdb2ba0a5d80f99940ae4b36df8e509180a608	08f3ff3dfef41f88c169285e33482ff21b012c02a981fd46a87b701b78ddb748	b03cd9e12be48b1c7289ff24e3252d08a6836b6ca9facf84a54ce4ec08b7b741	1e0ccb83d2568bee72ccf9948e0a90eb204743a8c5bbcbfcec017ef187f0be5f	ef2e7b17dbfa1c055acac57608d8f9f59f95aa0d2c29f2eb6c2c329b4afadc8c	241f6aa769983316d7f21e25ae2f621e6588c9fcf909f9565665088e657d68e8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	311337b08fe1c162ed20fb7642812d90517bf381795bd8b7ee0e895fc5644714	583c6ede1f2be5a44ebbd87343513bb71c7805f394c50ac37e965881f809c5f0	8c5c8f06921e9d68943e22aecf260c1fcec0a10f17bbc98d4c50f4c77ce0b57f	arms/08-reverse-qwen38-2b-distill
9	3	reverse	qwen35-08b	compact-text	20	unmet	8192	128	32	q8_0	q4_0	on	2	8192	low-async	19	287.729	66.03435871948952	64	3583.265	17.58173062835152	17.581730628352	0	0	true	833592096	37ae482d336108d23516fa35e8e0c4126688d81018b87178a18d752a1357814f	06b3443533745a0b1f6efc84f1e61a0df39baae7d525cd2c0f488b896af25386	ec724c4d5e61af4788f417088aca9cf44398b07053cb20a583ae4aaae421f5ae	a49fb64346eb887a83d52a4e686b636024251272c0045f4b98958288f366abf7	d1dabb8873cc0d97cc71145f7ec3c10a98a70e4ec06f202250231945c4ba3095	79503fd846fea9a93d3e9604904d81a57f9eb00d81f33cdc58ce145336a6cdbc	61a48f9462aef80817a93668858f33e9947a4c654d2e880a337ebd43e07f0928	238f6762c915fce10a0330e196803e189e69189355ac825ed681ae45fb464b15	f8f2abd80be77a2cd4c9612eaf2873f080cc93c0cf3cee07c41c696ed00178f3	4c9e231dc84072e278a72e0b41e680e93340c97ad5f9bf3c9498cdbd884a0b65	51a1952edd1bec8acdb09f1f747be9f2b1d1de180cdcfd7573a07e4328c03e83	bffab9a75508f545f71d67f2c224fd2f9f859ba07825a4305850396e4a75751e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	311337b08fe1c162ed20fb7642812d90517bf381795bd8b7ee0e895fc5644714	dfea96d8ba6a0678cda6c1a1ded8b96708364110d00a97d3e7959f7c786b3d2f	705fb1a4d379e1ad65b85c63c69d222f15e622d3c059aff752a9e6d3573de1bc	arms/09-reverse-qwen35-08b
10	4	reverse	qwen38-4b-distill	balanced-text	5.25	unmet	24576	128	32	q8_0	q4_0	on	2	8192	low-async	19	1634.362	11.625331474911922	64	17543.836	3.5910048406745254	3.591004840675	0	0	true	2783446304	dec96e8cf2e11b613bb46513dec485377f9ca5a351e71712ee0e244f287c6790	af00c7aea029e217e473dcf285148cc886babed1feed75f6db46f4d924d28a8d	a8efa33ad3ed69cbbeb4237dde35b0670fb763f417a364322af4fd56b47efc5e	d50a5aa6b834b40e2f44ba90181b32ba86825ce3927322c9a9ed538db56076cb	9e983ca3cd18838f1f67afc6d0be83fd4f76ed6a76491286d1fb5f4bf1c14c5e	e056938e698a3c2dfa53a6b01cf48962e620909f99eabb6d7374757a2edcf9e3	737d40b55bf0d5b2ee3d13c3ca4adfe9dc361fe3a98e8eb04bf7a096e14ec53e	0d3c1d60ef9b0be3ca99eed7c980e73f37c598dd3c26b6f7e1cb517debb93c43	bf0aaad14770f7f1e765d6b248b2be34a80f083d9a83142bf36cce073745c0ce	ba06f7caa5817c80b0cc16fdca7be5cd48088e3c073f7f8293b69fd4bb280779	a14787b52a88c73adc400b8fa7ac8f1827a7e7bdd838c6a6816accf89a9f56d5	9a141900208d1f5e278914d3286d60ddcd8e792c7b208f3fc8f47ef07a549e18	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	311337b08fe1c162ed20fb7642812d90517bf381795bd8b7ee0e895fc5644714	7a7590a6b7cec4c1c96cbe63865020d8a130e8c3ccfd89d6f03975b6ebb72bb5	3aababf9dad05a44cf7a11d9ca3bbd7c9bd6083c6f3187da3e3f5212764323ef	arms/10-reverse-qwen38-4b-distill
