elapsed_s	starred_step	freq1_hz
0.0	1: 400Mhz *	400000000
0.101	1: 400Mhz *	400000000
0.201	1: 400Mhz *	400000000
0.302	1: 400Mhz *	400000000
0.403	1: 400Mhz *	400000000
0.505	1: 400Mhz *	400000000
0.606	1: 400Mhz *	400000000
0.707	1: 400Mhz *	400000000
0.808	1: 400Mhz *	400000000
0.909	1: 400Mhz *	400000000
1.01	1: 400Mhz *	400000000
1.112	1: 400Mhz *	400000000
1.213	1: 400Mhz *	400000000
1.314	1: 400Mhz *	400000000
1.415	1: 400Mhz *	400000000
1.516	1: 400Mhz *	400000000
1.618	1: 400Mhz *	400000000
1.719	1: 400Mhz *	400000000
1.82	1: 400Mhz *	400000000
1.921	1: 400Mhz *	400000000
2.022	1: 400Mhz *	400000000
2.124	1: 400Mhz *	400000000
2.225	1: 400Mhz *	400000000
2.326	1: 400Mhz *	400000000
2.428	1: 400Mhz *	400000000
2.529	1: 400Mhz *	400000000
2.631	1: 400Mhz *	400000000
2.732	1: 400Mhz *	400000000
2.833	1: 400Mhz *	400000000
2.935	1: 400Mhz *	400000000
3.036	1: 400Mhz *	400000000
3.137	1: 400Mhz *	400000000
3.239	1: 400Mhz *	400000000
3.34	1: 400Mhz *	400000000
3.441	1: 400Mhz *	400000000
3.543	1: 400Mhz *	400000000
3.644	1: 400Mhz *	400000000
3.745	1: 400Mhz *	400000000
3.846	1: 400Mhz *	400000000
3.947	1: 400Mhz *	400000000
4.049	1: 400Mhz *	400000000
4.15	1: 400Mhz *	400000000
4.251	1: 400Mhz *	400000000
4.353	1: 400Mhz *	400000000
4.454	1: 400Mhz *	400000000
4.554	1: 400Mhz *	400000000
4.655	1: 400Mhz *	400000000
4.757	1: 400Mhz *	400000000
4.858	1: 400Mhz *	400000000
4.959	1: 400Mhz *	400000000
5.06	1: 400Mhz *	400000000
5.161	1: 400Mhz *	400000000
5.262	1: 400Mhz *	400000000
5.362	1: 400Mhz *	400000000
5.464	1: 400Mhz *	400000000
5.565	1: 400Mhz *	400000000
5.666	1: 400Mhz *	400000000
5.767	1: 400Mhz *	400000000
5.868	1: 400Mhz *	400000000
5.97	1: 400Mhz *	400000000
6.071	1: 400Mhz *	400000000
6.172	1: 400Mhz *	400000000
6.273	1: 400Mhz *	400000000
6.373	1: 400Mhz *	400000000
6.474	1: 400Mhz *	400000000
6.576	1: 400Mhz *	400000000
6.677	1: 400Mhz *	400000000
6.778	1: 400Mhz *	400000000
6.88	1: 400Mhz *	400000000
6.981	1: 400Mhz *	400000000
7.081	1: 400Mhz *	400000000
7.182	1: 400Mhz *	400000000
7.284	1: 400Mhz *	400000000
7.385	1: 400Mhz *	400000000
7.486	1: 400Mhz *	400000000
7.588	1: 400Mhz *	400000000
7.689	1: 400Mhz *	400000000
7.79	1: 400Mhz *	400000000
7.891	1: 400Mhz *	400000000
7.992	1: 400Mhz *	400000000
8.094	1: 400Mhz *	400000000
8.195	1: 400Mhz *	400000000
8.296	1: 400Mhz *	400000000
8.397	1: 400Mhz *	400000000
8.498	1: 400Mhz *	400000000
8.6	1: 400Mhz *	400000000
8.701	1: 400Mhz *	400000000
8.803	1: 400Mhz *	400000000
8.903	1: 400Mhz *	400000000
9.004	1: 400Mhz *	400000000
9.105	1: 400Mhz *	400000000
9.207	1: 400Mhz *	400000000
9.308	1: 400Mhz *	400000000
9.409	1: 400Mhz *	400000000
9.51	1: 400Mhz *	400000000
9.612	1: 400Mhz *	400000000
9.713	1: 400Mhz *	400000000
9.814	1: 400Mhz *	400000000
9.915	1: 400Mhz *	400000000
10.017	1: 400Mhz *	400000000
10.117	1: 400Mhz *	400000000
10.218	1: 400Mhz *	400000000
10.319	1: 400Mhz *	400000000
10.42	1: 400Mhz *	400000000
10.521	1: 400Mhz *	400000000
10.623	1: 400Mhz *	400000000
10.724	1: 400Mhz *	400000000
10.825	1: 400Mhz *	400000000
10.926	1: 400Mhz *	400000000
11.028	1: 400Mhz *	400000000
11.129	1: 400Mhz *	400000000
11.229	1: 400Mhz *	400000000
11.33	1: 400Mhz *	400000000
11.432	1: 400Mhz *	400000000
11.533	1: 400Mhz *	400000000
11.634	1: 400Mhz *	400000000
11.735	1: 400Mhz *	400000000
11.837	1: 400Mhz *	400000000
