key	value
schema	package-energy-window-v1
clock	CLOCK_MONOTONIC
window_begin_ns	503735742832836
window_end_ns	503755543536273
window_s	19.800703
sample_count	401
sample_period_ns	50000000
unreadable_count	0
inner_begin_ns	503735743029341
inner_end_ns	503755543513797
inner_interval_s	19.800484
inner_package_joules	49.664973
inner_core_joules	0.615218
inner_package_watts	2.508271
inner_core_watts	0.031071
outer_begin_ns	503735692949708
outer_end_ns	503755593531325
outer_interval_s	19.900582
outer_package_joules	50.077000
outer_core_joules	0.618178
outer_package_watts	2.516359
outer_core_watts	0.031063
window_coverage	bracketed
