field	q4k-float-dot	q4k-packed-f16-dot	q4k-mixed-f16-dot
spirv_sha256	b192014bad6e1f83	488a7723bb928d26	35f61f832333b6ce
isa_sha256	b26bab68c7df513e	f2522e0f2423ca38	b26bab68c7df513e
valu	96	107	96
salu	8	8	8
vmem	3	3	3
vgprs	36	36	36
sgprs	16	16	16
lds	512	512	512
scratch	0	0	0
code_size	880	960	880
v_mac_f32	6	0	6
v_fma_f32	0	0	0
v_pk_fma_f16	0	3	0
v_mad_mix_f32	0	0	0
v_cvt_f32_f16	0	2	0
sdwa_operand_uses	4	9	4
v_cvt_f16_f32	0	12	0
v_pk_mul_f16	0	1	0
