index	pipeline_name	code_sha256	q4k_signature	vgprs	sgprs	spilled_vgprs	lds	scratch	code_size	valu_count	salu_count	vmem_count	lds_count
1	-	bcc141907c9b6a48ca3c20daa54f467ddeb32b0c7e1cb13e1f9924678c5b6894	-	20	48	0	0	0	664	58	68	5	0
2	-	7868f444ab202ae2c96c8287dbb40593e15c317dd2dcd09ea0d5e8cdd622d026	-	40	96	0	2048	0	47036	3582	4413	623	200
3	-	3bb061f5a3f5cae9e58c27865f8d89bf64223ed0f06bf1983a34089fb09cfd76	-	4	32	0	0	0	380	33	30	8	0
4	-	71ef30eeab8602f5a4f5b102e80ea7c57357caa6fa6c3c3da8bea0b2346309a0	-	4	48	0	0	0	396	9	67	2	0
5	-	833557689c86b30325ab0e3112300a32b845499c0c431c102eb8bcdca8e65f60	nibble-only	84	48	0	512	0	17368	2114	1176	178	50
6	-	6965ab6d1689c9d730efa7380490a6f8bd224ae138321e294fd131026b04695c	-	24	48	0	0	0	844	86	71	3	0
7	-	35f7eca1d338ddad33e3c9cb9ed369aaf1c0074b121729ad028fa3e8590cd8b5	-	16	48	0	0	0	488	55	22	2	0
8	-	92b7e72684e0049f419edf95e17673fbac3b08eeab3befc571ac53c27b48ff6e	-	12	32	0	0	0	336	25	34	5	0
9	-	e562502c840cdcebec29caf4675dd8700103ba212b2d29a00ff21004a5c0482f	q4k	128	48	0	0	0	9552	1154	782	72	0
10	-	2551c0b22d0d5126bec0e2d17c44e7ad2cd2b469c10299016c98a7ef301ca020	-	8	48	0	2048	0	1020	38	144	3	23
11	-	9fd8943e6ae572ef11f3d1da76247e2d75000fd4737dcb99556e1662db4b0265	-	24	64	0	0	0	2140	293	130	6	0
12	-	caa9da30d91cee52cad38ae7d9fc4e547fded714ffe13d6afa102c2862619eb2	-	16	48	0	0	0	532	62	23	2	0
13	-	9e126415ea365a47668cb5f71e831a04ffba5ba040380d8de69e86cb81fe61c9	-	16	48	0	0	0	516	59	23	2	0
14	-	13ebc9f9a6e8fba45f6dec7b3d665687bebe941018d970b76078545e59c38107	-	24	64	0	0	0	2140	293	130	6	0
15	-	afde3bf1b480049961aee67459142495e1d3f5d204a3309bf293b710bb3cafb3	-	16	48	0	0	0	520	60	23	2	0
16	-	69d456a02e15399fda0fb9f83891f41cbd42fc8c5a98cd05716fa7940f511d9d	-	64	48	0	0	0	1764	105	136	82	0
17	-	f92dae20ca7b05f1df973adedf2f20932fdac9237067ab30485a1bdd7269cfd9	-	8	32	0	0	0	488	31	39	16	0
18	-	397ee8d50b1b8a5e5af9dd3788fa8586b54d422f29fc95e8c089174aba1f8cd6	-	24	48	0	0	0	1300	165	60	6	0
19	-	1745c6e1d8d7e81ef471da11d5ae59894e25ab3e25fea6864f272572e7663620	-	24	48	0	0	0	1300	165	60	6	0
20	-	4bd20298c398fcab41f08572b6d29a799cf8ccaf8f1d8c5c984b5ffea9988621	-	16	48	0	0	0	676	68	38	9	0
21	-	77496f4c3a68e483506b785124fb449b37733de7a7564bbcce09df686aff26fd	-	8	48	0	0	0	1696	142	209	7	0
22	-	169ab956b87b47caf6265e54f6e2462cce794c5719069ae6bf8db65165180d17	nibble-only	12	32	0	0	0	368	22	35	2	3
23	-	228ce668d5bf38518182d38358792fb20491b5247daf5d0196ca1c550d764665	nibble-only	24	32	0	0	0	844	69	50	8	12
24	-	b097d0f4222a1846f826b4d8e8703e9480372e1a5b31489ae0266b1313477f22	-	36	48	0	0	0	1728	237	60	26	0
25	-	fd06521bc8826a0dd3f416477cd5e0579fce36e7157073305da3514db74ba6f2	-	36	48	0	0	0	2544	371	60	18	0
26	-	61f093070007fe29aa6f67a7fbdfd70bddb9f0fa0c9f5393ce62ca788c4d3182	-	128	80	0	29184	0	19596	2486	627	168	61
27	-	ca0c6fa3eeb9896dac21fc58633a5ea16b6cae5c362bfe74b73c204c6f03a37a	nibble-only	64	48	0	512	0	13420	1648	847	130	50
28	-	004a2967e82d183c61dc30193c382925d98f6e412c8f901b0c7c8fac35be776d	-	64	64	0	4608	0	9368	1033	322	52	72
29	-	b48f420daf6efdef7f934fe619b802fae325f5819f028cf3192e8c6246eea65e	nibble-only	64	64	0	4608	0	8472	903	301	28	72
30	-	f813c7bc0fb0a624c3a21c9c85c88eb8f97c947309bf87fc589c97abebf3cf55	-	84	80	0	5120	0	25052	3216	747	205	111
31	-	2627df904d916973d71b77aa845c5be2410653aba2dbc5ab3ad257720b25a3f7	q4k	64	48	0	0	0	6480	810	499	56	0
32	-	570dc44da315c7f85f1640eaca34be1d87e7ccec32c639ee71ced60428a538f8	-	24	48	0	512	0	1672	190	102	7	5
33	-	f3bb83e257d80aec1c840bf5bba9026e27a9ceb57308d2ee492916b95f405ccf	-	32	48	0	0	0	812	58	99	7	0
34	-	eb9531b36131d695c3c667543d7335bb2d618456ef23ea9a83d2b62dae937312	-	8	48	0	512	0	1240	73	136	5	28
