arm	ctx_checkpoints	turn	prompt_n	prompt_ms	predicted_n	predicted_ms	prompt_tok_s	decode_tok_s	prefill_saved_ms
1	0	1	30725	1310110.674	32	7200.425	23.452	4.444	-
1	0	2	30748	1400252.522	32	6878.861	21.959	4.652	-90141.848
2	2	1	30725	1356915.857	32	9215.512	22.643	3.472	-
2	2	2	27	3999.078	32	8641.198	6.752	3.703	1352916.779
3	4	1	30725	1176490.091	32	8484.972	26.116	3.771	-
3	4	2	27	3618.951	32	8128.300	7.461	3.937	1172871.140
4	8	1	30725	1394849.150	32	5708.017	22.027	5.606	-
4	8	2	27	3002.673	32	5602.723	8.992	5.712	1391846.477
5	8	1	30725	1306918.291	32	9415.182	23.510	3.399	-
5	8	2	27	3969.026	32	8552.883	6.803	3.741	1302949.265
6	4	1	30725	1446520.289	32	9743.126	21.241	3.284	-
6	4	2	27	5112.009	32	8543.764	5.282	3.745	1441408.280
7	2	1	30725	1397776.337	32	7919.113	21.981	4.041	-
7	2	2	27	3596.763	32	8041.497	7.507	3.979	1394179.574
8	0	1	30725	1351133.980	32	10145.028	22.740	3.154	-
8	0	2	30748	1510400.097	32	6082.413	20.358	5.261	-159266.117
