path	bytes	files	source_class	files_hashed	files_digest_in_evidence	digest_coverage	retention_class
campaigns/qwen-test-models	707196032	109	campaign-output	109	0	0.0000	unmatched
campaigns/raven2-kernel-delta-e4-20260902T2312Z	62028463	242	campaign-output	242	78	0.3223	retained-partial
campaigns/qwen-frozen-binaries	57736112	1	campaign-output	1	0	0.0000	unmatched
campaigns/qwen-fixed64-main-5ce0f3c	47830822	2326	campaign-output	2326	2009	0.8637	retained-partial
campaigns/raven2-kernel-census-20260902T1556Z-2b-calibration-v9	33257846	625	campaign-output	625	129	0.2064	retained-partial
campaigns/raven2-kernel-census-20260902T1417Z-2b-calibration-v8	31715201	591	campaign-output	591	128	0.2166	retained-partial
campaigns/raven2-kernel-census-20260902T1302Z-2b-calibration-v8	31711186	590	campaign-output	590	127	0.2153	retained-partial
campaigns/raven2-kernel-census-20260902T2124Z-2b-calibration-v10	30557095	592	campaign-output	592	150	0.2534	retained-partial
campaigns/raven2-kernel-census-20260902T2011Z-2b-calibration-v10	30446243	590	campaign-output	590	104	0.1763	retained-partial
campaigns/evidence-out	22810919	312	campaign-output	312	163	0.5224	retained-partial
campaigns/qwen-ctx-checkpoint-sweep	18298803	239	campaign-output	239	135	0.5649	retained-partial
campaigns/raven2-kernel-census-20260902T0426Z-2b-calibration-v5	16630084	261	campaign-output	261	51	0.1954	retained-partial
campaigns/raven2-kernel-census-20260902T0819Z-2b-calibration-v8	16050446	323	campaign-output	323	76	0.2353	retained-partial
campaigns/raven2-kernel-census-20260902T0617Z-2b-calibration-v7	15912999	278	campaign-output	278	59	0.2122	retained-partial
campaigns/raven2-kernel-census-20260902T0525Z-2b-calibration-v6	15844544	278	campaign-output	278	62	0.2230	retained-partial
campaigns/fixed64-scoreboard-20260901T1810Z	13868382	616	campaign-output	616	26	0.0422	retained-partial
campaigns/raven2-witness-margin-holdout-20260903T0456Z	13506009	298	campaign-output	298	101	0.3389	retained-partial
campaigns/raven2-e1-isa-20260902T1312Z	13008214	72	campaign-output	72	5	0.0694	retained-partial
campaigns/fixed64-scoreboard-20260901T2011Z	10650101	499	campaign-output	499	131	0.2625	retained-partial
campaigns/raven2-e1-isa-20260902T2144Z	10409506	38	campaign-output	38	3	0.0789	retained-partial
campaigns/raven2-e1-isa-20260902T1427Z	10409504	38	campaign-output	38	3	0.0789	retained-partial
campaigns/raven2-e1-isa-20260902T1914Z	10409503	38	campaign-output	38	3	0.0789	retained-partial
campaigns/raven2-e1-isa-20260902T2039Z	10409495	38	campaign-output	38	3	0.0789	retained-partial
campaigns/raven2-e1-isa-e4-20260903T0140Z	10336826	38	campaign-output	38	4	0.1053	retained-partial
campaigns/fixed64-scoreboard-20260901T1937Z	9411894	328	campaign-output	328	28	0.0854	retained-partial
campaigns/fixed64-scoreboard-20260901T1930Z	9390215	325	campaign-output	325	28	0.0862	retained-partial
campaigns/fixed64-scoreboard-20260901T1758Z	8986414	289	campaign-output	289	22	0.0761	retained-partial
campaigns/evidence	6610020	102	campaign-output	102	2	0.0196	retained-partial
campaigns/power-envelope-campaign	5847676	470	campaign-output	470	276	0.5872	retained-partial
campaigns/q4k-served-ab-4b-20260903T2020Z	5609106	584	campaign-output	584	342	0.5856	retained-partial
campaigns/q4k-served-ab-4b-r2-20260903T2115Z	5582633	584	campaign-output	584	342	0.5856	retained-partial
logs	5561471	251	console-and-gate-logs	251	2	0.0080	retained-partial
campaigns/qwen-image-standalone	4989974	93	campaign-output	93	43	0.4624	retained-partial
campaigns/e1-lab-20260902	4952400	83	campaign-output	83	36	0.4337	retained-partial
campaigns/raven2-e4-quality-20260903T0547Z	3029310	13	campaign-output	13	8	0.6154	retained-partial
campaigns/q4k-served-ab-20260903T1953Z	2877214	584	campaign-output	584	342	0.5856	retained-partial
campaigns/qwen-graph-alias-ab-2	2356621	482	campaign-output	482	254	0.5270	retained-partial
campaigns/q4k-witness-4b-20260903T2020Z	2346664	158	campaign-output	158	101	0.6392	retained-partial
campaigns/q4k-witness-08b-20260903T2004Z	2251210	158	campaign-output	158	101	0.6392	retained-partial
campaigns/q4k-witness-20260903T1941Z	2207528	158	campaign-output	158	101	0.6392	retained-partial
campaigns/q4k-served-ab-08b-20260903T2004Z	2173935	584	campaign-output	584	342	0.5856	retained-partial
campaigns/qwen-representation-arm	1623536	30	campaign-output	30	0	0.0000	unmatched
campaigns/raven2-witness-calibration-20260903T0203Z	1542906	153	campaign-output	153	74	0.4837	retained-partial
campaigns/raven2-kernel-delta-witness-20260903T0148Z	1542470	153	campaign-output	153	74	0.4837	retained-partial
campaigns/image-admission-20260829T135331Z-review3	1364486	65	campaign-output	65	22	0.3385	retained-partial
campaigns/logs	1343306	46	campaign-output	46	10	0.2174	retained-partial
campaigns/image-admission-20260829T130608Z-review2	1323550	66	campaign-output	66	21	0.3182	retained-partial
