slot	arm	server_sha256	predicted_n	predicted_ms	tok_s	census_rows	sidecar	ownership	status	sclk_mode_mhz	sclk_share	regime_delta	clock_invariant	below_required_fraction
0a	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6409.768	9.829	-	on	-	completed	1100	0.8964	-	-	-
0b	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6400.949	9.842	-	on	-	completed	1100	0.9380	-	-	-
0c	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6413.979	9.822	-	on	-	completed	1100	0.9014	-	-	-
0d	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6416.170	9.819	-	on	-	completed	1100	0.9410	-	-	-
0e	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6395.419	9.851	-	on	-	completed	1100	0.9237	-	-	-
0f	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6415.131	9.821	-	on	-	completed	1100	0.9270	-	-	-
0g	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6416.400	9.819	-	on	-	completed	1100	0.9127	-	-	-
0h	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6418.231	9.816	-	on	-	completed	1100	0.8989	-	-	-
0i	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6430.490	9.797	-	on	-	completed	1100	0.9216	-	-	-
0j	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6387.982	9.862	-	on	-	completed	1100	0.8732	-	-	-
0k	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6398.515	9.846	-	on	-	completed	1100	0.9070	-	-	-
0l	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6405.892	9.835	-	on	-	completed	1100	0.9070	-	-	-
0m	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6395.031	9.851	-	on	-	completed	1100	0.9070	-	-	-
0n	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6411.880	9.826	-	on	-	completed	1100	0.9014	-	-	-
0o	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6380.764	9.873	-	on	-	completed	1100	0.9181	-	-	-
0p	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6396.784	9.849	-	on	-	completed	1100	0.9437	-	-	-
1	C	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6397.528	9.848	-	on	-	completed	1100	0.8961	-	-	-
2	K	2955d6dd653f3a5cfee6573c1361cf8b694c066905cae1622e4de0d6cb47e98b	64	6282.562	10.028	-	on	-	completed	1100	0.9713	-	-	-
3	K	2955d6dd653f3a5cfee6573c1361cf8b694c066905cae1622e4de0d6cb47e98b	64	6289.082	10.017	-	on	-	completed	1100	0.9571	-	-	-
4	C	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6415.094	9.821	-	on	-	completed	1100	0.9438	-	-	-
5	C	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6399.178	9.845	-	on	-	completed	1100	0.9577	-	-	-
6	K	2955d6dd653f3a5cfee6573c1361cf8b694c066905cae1622e4de0d6cb47e98b	64	6292.908	10.011	-	on	-	completed	1100	0.7429	-	-	-
7	K	2955d6dd653f3a5cfee6573c1361cf8b694c066905cae1622e4de0d6cb47e98b	64	6286.113	10.022	-	on	-	completed	1100	0.9226	-	-	-
8	C	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6400.985	9.842	-	on	-	completed	1100	0.9014	-	-	-
