slot	arm	phase	begin_ns	end_ns	note
0a	W	launch	1788490372785366533	1788490380072431633	-
0a	W	request	1788490380072431633	1788490387194504953	-
0a	W	teardown	1788490387194504953	1788490388240294557	-
0a	W	analysis	1788490388240294557	1788490388493735381	-
0a	W	cooldown	1788490388495194866	1788490400976642685	quiescence=reached elapsed_ms=12471 sclk_forced=0
0b	W	launch	1788490400982416081	1788490408146887603	-
0b	W	request	1788490408146887603	1788490415245523217	-
0b	W	teardown	1788490415245523217	1788490416300041892	-
0b	W	analysis	1788490416300041892	1788490416533061491	-
0b	W	cooldown	1788490416534332080	1788490428321919333	quiescence=reached elapsed_ms=11777 sclk_forced=0
0c	W	launch	1788490428328933083	1788490435636545897	-
0c	W	request	1788490435636545897	1788490442751549995	-
0c	W	teardown	1788490442751549995	1788490443752679639	-
0c	W	analysis	1788490443752679639	1788490444002004422	-
0c	W	cooldown	1788490444003484466	1788490457472852535	quiescence=reached elapsed_ms=13459 sclk_forced=0
0d	W	launch	1788490457478341476	1788490464661065496	-
0d	W	request	1788490464661065496	1788490471776674704	-
0d	W	teardown	1788490471776674704	1788490472805605565	-
0d	W	analysis	1788490472805605565	1788490473052219540	-
0d	W	cooldown	1788490473053756605	1788490485510825417	quiescence=reached elapsed_ms=12445 sclk_forced=0
0e	W	launch	1788490485516840993	1788490492764556852	-
0e	W	request	1788490492764556852	1788490499854579155	-
0e	W	teardown	1788490499854579155	1788490500651227030	-
0e	W	analysis	1788490500651227030	1788490500890942396	-
0e	W	cooldown	1788490500892419791	1788490512483827807	quiescence=reached elapsed_ms=11581 sclk_forced=0
0f	W	launch	1788490512489239544	1788490519791379877	-
0f	W	request	1788490519791379877	1788490526909716048	-
0f	W	teardown	1788490526909716048	1788490527710939526	-
0f	W	analysis	1788490527710939526	1788490527937228624	-
0f	W	cooldown	1788490527938739819	1788490534041158116	quiescence=reached elapsed_ms=6091 sclk_forced=0
0g	W	launch	1788490534046614475	1788490541218353206	-
0g	W	request	1788490541218353206	1788490548328080624	-
0g	W	teardown	1788490548328080624	1788490549351841815	-
0g	W	analysis	1788490549351841815	1788490549597927701	-
0g	W	cooldown	1788490549599269819	1788490557078928542	quiescence=reached elapsed_ms=7469 sclk_forced=0
0h	W	launch	1788490557084345493	1788490564387611749	-
0h	W	request	1788490564387611749	1788490571500043100	-
0h	W	teardown	1788490571500043100	1788490572525352763	-
0h	W	analysis	1788490572525352763	1788490572772645847	-
0h	W	cooldown	1788490572774129724	1788490586253803498	quiescence=reached elapsed_ms=13468 sclk_forced=0
0i	W	launch	1788490586259227160	1788490593501166710	-
0i	W	request	1788490593501166710	1788490600634773372	-
0i	W	teardown	1788490600634773372	1788490601628794234	-
0i	W	analysis	1788490601628794234	1788490601853777058	-
0i	W	cooldown	1788490601855154829	1788490614533716358	quiescence=reached elapsed_ms=12668 sclk_forced=0
0j	W	launch	1788490614539212019	1788490621842440459	-
0j	W	request	1788490621842440459	1788490628932109344	-
0j	W	teardown	1788490628932109344	1788490629712557908	-
0j	W	analysis	1788490629712557908	1788490629943040905	-
0j	W	cooldown	1788490629944498537	1788490636662940246	quiescence=reached elapsed_ms=6708 sclk_forced=0
0k	W	launch	1788490636668867705	1788490644008845767	-
0k	W	request	1788490644008845767	1788490651111558696	-
0k	W	teardown	1788490651111558696	1788490652124404491	-
0k	W	analysis	1788490652124404491	1788490652352108243	-
0k	W	cooldown	1788490652353041262	1788490664930603774	quiescence=reached elapsed_ms=12569 sclk_forced=0
0l	W	launch	1788490664936059255	1788490672272353475	-
0l	W	request	1788490672272353475	1788490679378076659	-
0l	W	teardown	1788490679378076659	1788490680384196638	-
0l	W	analysis	1788490680384196638	1788490680619853928	-
0l	W	cooldown	1788490680621324371	1788490686807978636	quiescence=reached elapsed_ms=6176 sclk_forced=0
0m	W	launch	1788490686814135129	1788490694156634529	-
0m	W	request	1788490694156634529	1788490701253854665	-
0m	W	teardown	1788490701253854665	1788490702261357869	-
0m	W	analysis	1788490702261357869	1788490702510867269	-
0m	W	cooldown	1788490702512213103	1788490709467364830	quiescence=reached elapsed_ms=6942 sclk_forced=0
0n	W	launch	1788490709472924002	1788490716684969300	-
0n	W	request	1788490716684969300	1788490723794494848	-
0n	W	teardown	1788490723794494848	1788490724821404237	-
0n	W	analysis	1788490724821404237	1788490725069171138	-
0n	W	cooldown	1788490725070674912	1788490730922866084	quiescence=reached elapsed_ms=5840 sclk_forced=0
0o	W	launch	1788490730928720886	1788490738136433358	-
0o	W	request	1788490738136433358	1788490745220411354	-
0o	W	teardown	1788490745220411354	1788490746012813411	-
0o	W	analysis	1788490746012813411	1788490746259938125	-
0o	W	cooldown	1788490746261288013	1788490753249706846	quiescence=reached elapsed_ms=6977 sclk_forced=0
0p	W	launch	1788490753256720300	1788490760443632513	-
0p	W	request	1788490760443632513	1788490767542726070	-
0p	W	teardown	1788490767542726070	1788490768544875194	-
0p	W	analysis	1788490768544875194	1788490768779629881	-
0p	W	cooldown	1788490768780523791	1788490781791432945	quiescence=reached elapsed_ms=13002 sclk_forced=0
1	C	launch	1788490781797237639	1788490789056873967	-
1	C	request	1788490789056873967	1788490796173299970	-
1	C	teardown	1788490796173299970	1788490796972245591	-
1	C	analysis	1788490796972245591	1788490797205269189	-
1	C	cooldown	1788490797206166628	1788490803665419210	quiescence=reached elapsed_ms=6450 sclk_forced=0
2	K	launch	1788490803669720424	1788490810857923343	-
2	K	request	1788490810857923343	1788490817836369837	-
2	K	teardown	1788490817836369837	1788490818709361971	-
2	K	analysis	1788490818709361971	1788490818934392494	-
2	K	cooldown	1788490818935768456	1788490831671869335	quiescence=reached elapsed_ms=12722 sclk_forced=0
3	K	launch	1788490831676117886	1788490838975060968	-
3	K	request	1788490838975060968	1788490845976054206	-
3	K	teardown	1788490845976054206	1788490846849231666	-
3	K	analysis	1788490846849231666	1788490847068116038	-
