variant	num_rows	isa_sha256	spirv_sha256	valu	salu	vmem	smem	vgprs	sgprs	spilled_vgprs	spilled_sgprs	code_size	subgroups_per_simd	waitcnt	v_alignbyte_b32	v_perm_b32	v_add_u32	body_instructions	body_valu	body_salu	body_vmem	body_waitcnt	body_longest_valu_chain	body_max_lgkm_in_flight
v0	4	29454587729e13128b02be3e6b9ea8667bbc30aef78da07cc3ed082a50185a1d	d59fcb958e6d2e9feba6295581a67d8e77c8bd4539546f499481651af273018e	810	414	56	38	64	48	0	0	6480	4	84	16	0	76	395	329	19	24	23	17	1
v0	8	299ef0ed18c6795fa46d5e5ae386d72dfa2e62b4ba352dec4a4c1e0ef223906f	d59fcb958e6d2e9feba6295581a67d8e77c8bd4539546f499481651af273018e	1520	667	104	70	64	48	0	0	11668	4	145	32	0	140	742	635	31	44	32	17	1
v1	4	4eb61f83650ae20613e80597cdfb41daaf8ae231e34acfaf21b54262d3931f4f	c2af051ad2d0022ed9f1b3527cf9e51e4089fb875ac02e6c5524d7ac9d5c111f	776	416	40	38	48	48	0	0	6176	5	70	0	0	42	365	312	20	16	17	12	1
v1	8	908b31fead0394728664323a8f3f60195b48b7c3435066712c521dba54bb9373	c2af051ad2d0022ed9f1b3527cf9e51e4089fb875ac02e6c5524d7ac9d5c111f	1454	668	72	70	64	48	0	0	11036	4	119	0	0	74	684	602	32	28	22	12	1
v2	4	138bab50eda6ccc36a6de956cb6d8a8c0f876f982d3f77ce02d925d851ada72a	f849f30d0a39a4c90639247e3f8f9a6b0f62bfc5a9bc2c0e0747290294c1e9d4	786	428	40	38	48	48	0	0	6288	5	70	0	0	42	349	312	4	16	17	12	0
v2	8	8eb28854fb42c20f0cd4b50d113ed9cd1eeb7d5f919815f1694ee91f0e8e0a55	f849f30d0a39a4c90639247e3f8f9a6b0f62bfc5a9bc2c0e0747290294c1e9d4	1473	680	72	70	64	48	0	0	11160	4	118	0	0	74	656	603	4	28	21	13	0
