arm	isa_sha256	valu	salu	vmem	smem	vgprs	sgprs	spilled_vgprs	spilled_sgprs	code_size	v_mac_f32	v_perm_b32	v_alignbyte_b32	v_bfi_b32	v_add_u32	sdwa_operand_uses	subgroups_per_simd	body_instructions	body_valu	body_salu	body_vmem	body_waitcnt	body_longest_valu_chain	body_max_lgkm_in_flight
ctrl-nr4	29454587	810	414	56	38	64	48	0	0	6480	152	0	16	0	76	16	4	395	329	19	24	23	17	1
s1-nr4	d6f4e586	786	419	48	38	64	48	0	0	6324	152	0	0	0	42	8	4	376	315	20	20	21	12	1
s2-nr4	4b5e5a5d	774	416	48	38	64	48	0	0	6272	152	0	0	0	42	24	4	372	311	20	20	21	12	1
s3-nr4	deb8e86d	784	419	48	38	64	48	0	0	6316	152	0	0	8	42	16	4	376	315	20	20	21	12	1
s4-nr4	25e58411	784	419	40	38	64	48	0	0	6212	152	0	0	0	42	8	4	367	314	20	16	17	12	1
s5-nr4	4eb61f83	776	416	40	38	48	48	0	0	6176	152	0	0	0	42	24	5	365	312	20	16	17	12	1
d1-nr4	2b403f1f	820	426	56	38	64	48	0	0	6580	152	0	16	0	76	16	4	377	327	4	24	22	17	0
s2+d1-nr4	ee8e59bf	784	427	48	38	64	48	0	0	6368	152	0	0	0	42	24	4	355	310	4	20	21	12	0
s4+d1-nr4	5158c68f	794	430	40	38	64	48	0	0	6312	152	0	0	0	42	8	4	352	314	5	16	17	12	0
s5+d1-nr4	138bab50	786	428	40	38	48	48	0	0	6288	151	0	0	0	42	24	5	349	312	4	16	17	12	0
