arm	isa_sha256	valu	salu	vmem	smem	vgprs	sgprs	spilled_vgprs	spilled_sgprs	code_size	v_mac_f32	v_perm_b32	v_alignbyte_b32	v_bfi_b32	v_add_u32	sdwa_operand_uses	subgroups_per_simd	body_instructions	body_valu	body_salu	body_vmem	body_waitcnt	body_longest_valu_chain	body_max_lgkm_in_flight
ctrl-nr8	299ef0ed	1520	667	104	70	64	48	0	0	11668	304	0	32	0	140	32	4	742	635	31	44	32	17	1
s1-nr8	72b8c68c	1472	676	88	70	64	48	0	0	11364	304	0	0	0	74	16	4	712	609	32	36	35	13	1
s2-nr8	1cc671ed	1451	669	88	70	64	48	0	0	11264	304	0	0	0	74	48	4	702	600	32	36	34	12	1
s3-nr8	a2bb18cb	1473	676	88	70	64	48	0	0	11332	304	0	0	16	74	32	4	705	612	32	36	25	12	1
s4-nr8	d6c367cf	1472	675	72	70	64	48	0	0	11160	303	0	0	0	74	16	4	699	610	32	28	29	12	1
s5-nr8	908b31fe	1454	668	72	70	64	48	0	0	11036	304	0	0	0	74	48	4	684	602	32	28	22	12	1
d1-nr8	c197f9e2	1538	678	104	70	64	48	0	0	11792	304	0	32	0	140	32	4	720	633	4	44	39	17	0
s2+d1-nr8	133cbe29	1469	681	88	70	64	48	0	0	11352	304	0	0	0	74	48	4	667	599	4	36	28	12	0
s4+d1-nr8	58d1eb71	1491	690	72	70	64	48	0	0	11304	304	0	0	0	74	16	4	672	610	5	28	29	12	0
s5+d1-nr8	8eb28854	1473	680	72	70	64	48	0	0	11160	304	0	0	0	74	48	4	656	603	4	28	21	13	0
