field	expected	observed	state
server_sha256	70aa78bc0eed708ce8d06b690467affce3bb222014714af4dbd92e00fa5ff010	70aa78bc0eed708ce8d06b690467affce3bb222014714af4dbd92e00fa5ff010	bound
server_bytes	57732160	57732160	bound
model_bytes	833592096	833592096	bound
model_sha256	37ae482d336108d23516fa35e8e0c4126688d81018b87178a18d752a1357814f	37ae482d336108d23516fa35e8e0c4126688d81018b87178a18d752a1357814f	bound
runtime_tree_git_head	b60ffa867afc73d7b9553a0372ecb80b8bb06c6b	b60ffa867afc73d7b9553a0372ecb80b8bb06c6b	bound
runtime_tree_remote_payload_sha256	f63cfec17e56ff036780b7382ee521040973a030e847e31669f8e0674f9ea793	f63cfec17e56ff036780b7382ee521040973a030e847e31669f8e0674f9ea793	bound
runtime_tree_patches_payload_sha256	74c70591f6fd83fdc7c4f9bf6c6e0dd6fad749fc67d38187abf7c88e55daa3d2	74c70591f6fd83fdc7c4f9bf6c6e0dd6fad749fc67d38187abf7c88e55daa3d2	bound
runtime_tree_checker_sha256	75c5c1734042926bb8dd95cf7d7b2bebf6c21513af97e8f21d48f0dc2dfe4c89	75c5c1734042926bb8dd95cf7d7b2bebf6c21513af97e8f21d48f0dc2dfe4c89	bound
runtime_tree_verified	verified	verified	bound
artifact_ledger_sha256	dcf46173a9bac5ebc6e7eea125ead7877502f0e11a46c6dacbb7a856dde87d1f	dcf46173a9bac5ebc6e7eea125ead7877502f0e11a46c6dacbb7a856dde87d1f	bound
served_runner_sha256	885f4cb0fd8bbae353cb680749c4760f1953fb92a4ea02fc6541aa683d5d9b9d	885f4cb0fd8bbae353cb680749c4760f1953fb92a4ea02fc6541aa683d5d9b9d	bound
request_sha256	311337b08fe1c162ed20fb7642812d90517bf381795bd8b7ee0e895fc5644714	311337b08fe1c162ed20fb7642812d90517bf381795bd8b7ee0e895fc5644714	bound
