slot	arm	server_sha256	predicted_n	predicted_ms	tok_s	census_rows	sidecar	ownership	status
1	P-nosidecar	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	7714.735	8.166	-	off	-	completed
2	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6387.032	9.864	-	refused	-	failed
3	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6347.005	9.926	-	refused	-	failed
4	P-nosidecar	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6351.249	9.919	-	off	-	completed
5	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6378.382	9.877	-	refused	-	failed
6	I0	085e25dc2c82a838a86ff39afd2238c5c70d2d61bcaf9491527690ba56e71c3e	64	6377.373	9.879	-	refused	-	failed
7	I0	085e25dc2c82a838a86ff39afd2238c5c70d2d61bcaf9491527690ba56e71c3e	64	6413.908	9.822	-	refused	-	failed
8	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6358.602	9.908	-	refused	-	failed
9	I0	085e25dc2c82a838a86ff39afd2238c5c70d2d61bcaf9491527690ba56e71c3e	64	6378.254	9.877	-	refused	-	failed
10	I1	085e25dc2c82a838a86ff39afd2238c5c70d2d61bcaf9491527690ba56e71c3e	64	6541.107	9.631	43608	on	conclusive	completed
11	I1	085e25dc2c82a838a86ff39afd2238c5c70d2d61bcaf9491527690ba56e71c3e	64	6523.844	9.657	43608	refused	-	failed
12	I0	085e25dc2c82a838a86ff39afd2238c5c70d2d61bcaf9491527690ba56e71c3e	64	6400.542	9.843	-	refused	-	failed
13	S	085e25dc2c82a838a86ff39afd2238c5c70d2d61bcaf9491527690ba56e71c3e	64	25633.472	2.458	64	refused	-	failed
