pipeline	id	name	constants	wg_denoms	subgroup	calls_per_graph	workgroups_per_graph	total_bracket_upper_bound_ms	pipeline_bracket_union_ms	exclusive_bracket_ms	ambiguous_overlap_ms	median_us	p90_us	p99_us	max_us	vgprs	sgprs	spilled_vgprs	lds	scratch	subgroups_per_simd	spirv_executed_sha256
pipeline	27	matmul_q8_0_f32_f16acc_aligned_s	64,32,32,32,32,32,2,2,2,1,64,1	32,32,1	0	186.000	12516.0	188.829	177.952	147.443	30.509	1236.6	1579.0	2090.9	2131.2	64	64	0	4608	0	4	42ea2459834546bca29ede1f44aadded81f5a5fd0bbae003b8a7faef317d6a0d
pipeline	26	mul_mat_vec_q8_0_f32_f32	64,2,1	2,1,1	64	1.000	124160.0	12.849	12.849	12.849	0.000	12849.0	12849.0	12849.0	12849.0	40	48	0	0	0	6	f2d4eded8eb892ed5c9bfccc7c2fad43cbbc257e732a927b6bd436f19bea2798
pipeline	3	scale_f32	-	512,1,1	0	36.000	9864.0	11.288	11.288	0.158	11.129	277.0	617.3	626.6	626.6	4	32	0	0	0	10	9441ec09d452720ca49159c539936d6cccb75e272514b9f5344386baaf1d029d
pipeline	15	gated_delta_net_f32_d128	128,0,64,8	1,1,8	64	18.000	4608.0	7.997	7.997	7.990	0.007	444.7	449.3	451.2	451.2	64	48	0	0	0	4	82506bf6a83dcccbd56107c5bd56f2f7848aea36a2237b8591d6db13539c33ba
pipeline	2	rms_norm_mul_f32	0,1	1,1,1	0	79.000	7543.0	5.334	5.334	5.324	0.011	23.7	191.0	191.8	192.5	40	96	0	2048	0	6	f8ff313d10a2b769f5600531fdf16d56075b901b5025f1f8aef9fe5a9f799193
pipeline	16	contig_cpy_f32_f32	-	512,1,1	0	18.000	9216.0	4.722	4.722	0.098	4.624	266.0	270.6	327.7	327.7	8	32	0	0	0	10	65ad91fafe69ecd250f575d3e64b2feab853293aca2e77b4b5d8adc5cb6a5297
pipeline	9	l2_norm_f32	-	1,1,1	0	36.000	10944.0	4.429	4.133	1.860	2.273	115.0	133.8	133.9	133.9	8	48	0	2048	0	10	a48a4f1949509e775f7c204c146ac883eb9e216a0656e120a74be5e1d215e24e
pipeline	6	concat_i32	-	512,1,1	0	18.000	4752.0	2.987	2.987	2.909	0.078	165.8	166.1	168.8	168.8	24	48	0	0	0	10	6730d84ddc1d56579237fd0c9e08ed30249539e84ae9a3e3c3c81471e958c640
pipeline	4	get_rows_f32_f32	-	512,1,1	0	37.000	9866.0	2.362	2.362	2.171	0.192	18.6	115.5	117.8	117.8	4	48	0	0	0	10	fafe80bdb8aa8cbc604b89086ca9c2b9f583a61aeb59485f0753411cf32f11b5
pipeline	7	cpy_f32_f32	-	512,1,1	0	24.000	1104.0	2.258	2.258	0.353	1.905	143.3	146.9	147.4	147.4	16	48	0	0	0	10	42df294d98fcb62fe55a28d0606af612b3db2974fcfcd1f54a556df93914fe1c
pipeline	8	ssm_conv_silu_f32	32,16,0,1	32,16,1	0	18.000	6912.0	2.033	2.033	0.428	1.605	122.8	124.8	125.1	125.1	12	32	0	0	0	10	e5deee0b5cdb126d8de0c65a8a2b58cf1a5b4aae664cefee20adfa556837b3cc
pipeline	19	swiglu_f32	-	512,1,1	0	24.000	3192.0	1.500	1.500	1.500	0.000	62.4	62.7	62.9	62.9	16	48	0	0	0	10	3f7566971cea1b0c06e0c6f211c001709dcd15cf0dc308c02f0b93c0502aacd6
pipeline	18	add_f32_f32_f32_norepeat	1	512,1,1	0	48.000	1824.0	1.289	1.289	1.178	0.111	26.9	27.4	27.5	27.5	24	48	0	0	0	10	e9d1ca8ae73fa0394f7d210c8cb5f80812450d18f5a171721be082fb5e4ba60b
pipeline	28	flash_attn_f32_f16_aligned	256,8,32,256,256,0,8,4,64,0,2,0,8,2,34,18	8,1,1	64	6.000	144.0	1.283	1.283	1.283	0.000	214.1	215.0	215.4	215.4	84	80	0	5120	0	3	3cc1200f454f96a623755925419f8e9804b4e68cdcb540aae24dfe8de519d093
pipeline	17	mul_f32_f32_f32_norepeat	1	512,1,1	0	24.000	1824.0	1.205	1.205	1.193	0.012	50.1	50.4	51.5	51.5	24	48	0	0	0	10	6ad67ad0fc4a583fa1f84b76c5f0efd838711b4847b2566a6d1f871ea43ccccc
pipeline	14	silu_f32	-	512,1,1	0	18.000	1368.0	0.800	0.800	0.789	0.011	44.3	44.5	46.1	46.1	16	48	0	0	0	10	e20bc2d5aeffd5c5fe32f2d9fbbb7225959daeebbd356c5a88f303e18ad75795
pipeline	13	mul_f32_f32_f32	0	512,1,1	0	18.000	18.0	0.366	0.366	0.058	0.308	6.4	6.6	256.3	256.3	24	64	0	0	0	10	6ad67ad0fc4a583fa1f84b76c5f0efd838711b4847b2566a6d1f871ea43ccccc
pipeline	12	sigmoid_f32	-	512,1,1	0	24.000	474.0	0.365	0.365	0.309	0.056	5.1	45.8	46.9	46.9	16	48	0	0	0	10	e7f474fbf06ec2e6c12f0677bd429bfda8615560c00e43c7d553c05b65445bcf
pipeline	20	rope_multi_f32	-	1,512,1	0	12.000	1140.0	0.360	0.360	0.304	0.056	30.2	43.8	45.0	45.0	8	48	0	0	0	10	39e1c217020d1f89b8f019242240cd9e12ce578d34ddad4957e6badd2c21a9cd
