# clock=CLOCK_MONOTONIC period_ns=20000000 drm_device=/sys/class/drm/card1/device hwmon=/sys/class/hwmon/hwmon6
# interpretation: pp_dpm_sclk_selected_mhz is the selected graphics clock step; pp_dpm_mclk_surface_mhz is the pp_dpm_mclk sysfs surface, which on SMU10 is a fabric-clock state rather than the trained DRAM speed; pp_dpm_fclk_surface_mhz is the pp_dpm_fclk sysfs surface
# sampler_pid=3863977 nice=19 cpu_affinity=0,1 sampler_format=native-fresh-v1
monotonic_ns	pp_dpm_sclk_selected_mhz	pp_dpm_mclk_surface_mhz	pp_dpm_fclk_surface_mhz	gpu_busy_percent	temp1_millidegrees	sample_cost_ns
807164740426771	1100	933	unavailable	99	55000	669103
807164760403841	1100	933	unavailable	99	55000	416029
807164780403384	1100	933	unavailable	99	55000	1224674
807164800410090	1100	933	unavailable	99	55000	757890
807164820406126	1100	933	unavailable	99	55000	408375
807164841051849	1100	933	unavailable	99	55000	671518
807164860449144	1100	933	unavailable	97	55000	994593
807164880407319	1100	933	unavailable	98	55000	444293
807164900422101	1100	933	unavailable	98	55000	1242066
807164920415111	1100	933	unavailable	98	55000	1050047
807164940420645	1100	933	unavailable	99	55000	484177
807164960426149	1100	933	unavailable	99	55000	548918
807164980433607	1100	933	unavailable	99	55000	1042613
807165000443038	1100	933	unavailable	99	55000	638476
807165020418485	1100	933	unavailable	99	55000	548318
807165040420573	1100	933	unavailable	99	55000	1103797
807165060460511	1100	933	unavailable	99	55000	744705
807165080436571	1100	933	unavailable	99	55000	464290
807165100437767	1100	933	unavailable	99	55000	1034087
807165120441276	1100	933	unavailable	99	55000	872885
807165140419118	1100	933	unavailable	99	55000	568656
807165160415856	1100	933	unavailable	99	55000	1176744
807165180445134	1100	933	unavailable	99	55000	979665
807165200408299	1100	933	unavailable	99	55000	512610
807165220452455	1100	933	unavailable	99	55000	1249731
807165240455565	1100	933	unavailable	99	55000	1084381
807165260457662	1100	933	unavailable	99	55000	665036
807165280462304	1100	933	unavailable	99	55000	686677
807165300418907	1100	933	unavailable	99	55000	1226668
807165320443416	1100	933	unavailable	99	55000	794248
807165340438090	1100	933	unavailable	99	55000	646201
807165360417585	1100	933	unavailable	99	55000	1044397
807165380405827	1100	933	unavailable	99	55000	972071
807165400514744	1100	933	unavailable	99	55000	542336
807165420405163	1100	933	unavailable	99	55000	411791
807165440415305	1100	933	unavailable	99	55000	943558
807165460414257	1100	933	unavailable	98	55000	563526
807165480410734	1100	933	unavailable	98	55000	438732
807165500419003	1100	933	unavailable	98	55000	1080143
807165520408968	1100	933	unavailable	98	55000	616384
807165540403281	1100	933	unavailable	99	55000	414928
807165560415998	1100	933	unavailable	99	55000	1193286
807165580410512	1100	933	unavailable	99	55000	744955
807165600428038	1100	933	unavailable	99	55000	664034
807165620419355	1100	933	unavailable	99	55000	1040519
807165640416684	1100	933	unavailable	99	55000	859620
807165660403292	1100	933	unavailable	99	55000	477665
807165680405139	1100	933	unavailable	99	55000	431990
807165700412297	1100	933	unavailable	99	55000	952193
807165720415496	1100	933	unavailable	99	55000	526837
807165740417093	1100	933	unavailable	99	55000	472695
807165760436483	1100	933	unavailable	99	55000	1087968
807165780887601	1100	933	unavailable	99	55000	684613
807165800715523	1100	933	unavailable	99	55000	1253298
807165820420013	1100	933	unavailable	99	55000	1074072
807165840427632	1100	933	unavailable	99	55000	796382
807165860713991	1100	933	unavailable	99	55000	1207212
807165880759099	1100	933	unavailable	99	55000	990786
807165900784330	1100	933	unavailable	99	55000	794588
807165920423758	1100	933	unavailable	99	55000	482945
807165940431596	1100	933	unavailable	99	56000	1147079
807165961023058	1100	933	unavailable	99	56000	332743
807165980419230	1100	933	unavailable	99	56000	395601
807166001109797	1100	933	unavailable	99	56000	672680
807166021022297	1100	933	unavailable	99	56000	333535
807166040410755	1100	933	unavailable	99	56000	444182
807166060408114	1100	933	unavailable	98	56000	356548
807166080397137	1100	933	unavailable	98	56000	896629
807166100400216	1100	933	unavailable	98	56000	586840
807166120411241	1100	933	unavailable	98	56000	472896
807166140413801	1100	933	unavailable	99	56000	1042052
807166160408754	1100	933	unavailable	99	56000	851115
807166180433674	1100	933	unavailable	99	56000	592720
807166200430351	1100	933	unavailable	99	56000	1136198
807166220411319	1100	933	unavailable	99	56000	945822
807166240409100	1100	933	unavailable	99	56000	459260
807166260430683	1100	933	unavailable	99	56000	532528
807166280403055	1100	933	unavailable	99	56000	1046881
807166300405773	1100	933	unavailable	99	56000	587170
807166320415515	1100	933	unavailable	99	56000	485419
807166340401442	1100	933	unavailable	99	56000	1070726
807166360429108	1100	933	unavailable	99	56000	734956
807166380406729	1100	933	unavailable	99	56000	419596
807166400436448	1100	933	unavailable	99	56000	1011595
807166420454155	1100	933	unavailable	99	56000	939330
807166440436005	1100	933	unavailable	99	56000	459681
807166460457879	1100	933	unavailable	99	56000	1266062
807166480447403	1100	933	unavailable	99	56000	962493
807166500766855	1100	933	unavailable	99	56000	1378212
807166520468641	1100	933	unavailable	99	56000	1311546
807166540416055	1100	933	unavailable	99	56000	1048214
807166560442759	1100	933	unavailable	99	56000	578794
807166580413438	1100	933	unavailable	99	56000	535753
807166600441233	1100	933	unavailable	99	56000	1119587
807166620415619	1100	933	unavailable	99	56000	715661
807166640408529	1100	933	unavailable	99	56000	446026
807166660425415	1100	933	unavailable	98	56000	1261292
807166680416311	1100	933	unavailable	98	56000	850553
807166700405154	1100	933	unavailable	98	56000	453750
807166720437318	1100	933	unavailable	98	56000	1236115
807166740411373	1100	933	unavailable	99	56000	969245
807166760440711	1100	933	unavailable	99	56000	489327
807166780437519	1100	933	unavailable	99	56000	462006
807166800424599	1100	933	unavailable	99	56000	1079662
807166820441013	1100	933	unavailable	99	56000	594303
807166840422151	1100	933	unavailable	99	56000	562183
807166860410183	1100	933	unavailable	99	56000	1114006
807166880405507	1100	933	unavailable	99	56000	727263
807166900409468	1100	933	unavailable	99	56000	470121
807166920411726	1100	933	unavailable	99	56000	1009701
807166940412631	1100	933	unavailable	99	56000	819345
807166960474031	1100	933	unavailable	99	56000	647933
807166980718141	1100	933	unavailable	99	56000	1123805
807167000422991	1100	933	unavailable	99	56000	946443
807167020419929	1100	933	unavailable	99	56000	476653
807167040710097	1100	933	unavailable	99	56000	1378442
807167060452077	1100	933	unavailable	99	56000	1032003
807167080439607	1100	933	unavailable	99	56000	539351
807167100457274	1100	933	unavailable	99	56000	658694
807167120460343	1100	933	unavailable	99	56000	1140086
807167140424550	1100	933	unavailable	99	56000	729486
807167160415687	1100	933	unavailable	99	56000	445785
807167180439475	1100	933	unavailable	99	56000	1709672
807167200408971	1100	933	unavailable	99	56000	789669
807167223030065	1100	933	unavailable	99	56000	720940
807167240411553	1100	933	unavailable	99	56000	1120710
807167260421596	1100	933	unavailable	98	56000	993651
807167280411811	1100	933	unavailable	98	56000	347120
807167300403890	1100	933	unavailable	98	56000	276698
807167320406289	1100	933	unavailable	98	56000	1033465
807167340400932	1100	933	unavailable	99	56000	466594
807167360417967	1100	933	unavailable	99	56000	478035
807167380407411	1100	933	unavailable	99	56000	1042172
807167400429476	1100	933	unavailable	99	56000	730559
807167420406306	1100	933	unavailable	99	56000	423503
807167440436015	1100	933	unavailable	99	56000	1146538
807167460452520	1100	933	unavailable	99	56000	811921
807167480434381	1100	933	unavailable	99	56000	460923
807167500443862	1100	933	unavailable	99	56000	1092606
807167520439407	1100	933	unavailable	99	56000	912048
807167540404043	1100	933	unavailable	99	56000	653194
807167560448401	1100	933	unavailable	99	56000	1219173
807167580433687	1100	933	unavailable	99	56000	1008950
807167600434902	1100	933	unavailable	99	56000	595967
807167620430107	1100	933	unavailable	99	56000	629870
807167640727778	1100	933	unavailable	99	56000	978914
807167660462475	1100	933	unavailable	99	56000	677490
807167680787588	1100	933	unavailable	99	56000	1420971
807167700418691	1100	933	unavailable	99	56000	1159301
807167720430686	1100	933	unavailable	99	56000	828072
807167740406976	1100	933	unavailable	99	56000	434093
807167760409364	1100	933	unavailable	99	56000	416249
807167780410119	1100	933	unavailable	99	56000	905356
807167800431412	1100	933	unavailable	99	56000	428222
807167820415486	1100	933	unavailable	99	56000	487523
807167840429305	1100	933	unavailable	99	56000	986819
807167860447884	1100	933	unavailable	98	56000	617467
807167880418122	1100	933	unavailable	98	56000	572021
807167900408798	1100	933	unavailable	98	56000	1057080
807167920417989	1100	933	unavailable	98	56000	754243
807167940406911	1100	933	unavailable	99	56000	372027
807167960404220	1100	933	unavailable	99	56000	952765
807167980417349	1100	933	unavailable	99	57000	821799
807168000409709	1100	933	unavailable	99	57000	436517
807168020414671	1100	933	unavailable	99	57000	1108016
807168040423140	1100	933	unavailable	99	57000	955410
807168060396504	1100	933	unavailable	99	57000	280776
807168080403101	1100	933	unavailable	99	57000	429645
807168100416599	1100	933	unavailable	99	57000	1024499
807168120406153	1100	933	unavailable	99	57000	527428
807168140406068	1100	933	unavailable	99	57000	425336
807168160428052	1100	933	unavailable	99	57000	1134044
807168180440308	1100	933	unavailable	99	57000	684582
807168200720827	1100	933	unavailable	99	57000	1326074
807168220427171	1100	933	unavailable	99	57000	1143161
807168240440569	1100	933	unavailable	99	57000	787736
807168260442858	1100	933	unavailable	99	57000	635209
807168280448031	1100	933	unavailable	99	57000	1080183
807168300440019	1100	933	unavailable	99	57000	935222
807168320430174	1100	933	unavailable	99	57000	629179
807168340416332	1100	933	unavailable	99	57000	489657
807168360412388	1100	933	unavailable	99	57000	981839
807168380421679	1100	933	unavailable	99	57000	554639
807168400405753	1100	933	unavailable	99	57000	412212
807168420402861	1100	933	unavailable	99	57000	1003480
807168440404939	1100	933	unavailable	99	57000	666017
807168460482107	1083	933	unavailable	98	57000	506939
807168480425314	1100	933	unavailable	98	57000	1127793
807168500406834	1100	933	unavailable	98	57000	867475
807168520405524	1100	933	unavailable	98	57000	448120
807168540419124	1100	933	unavailable	99	57000	1088599
807168560409920	1100	933	unavailable	99	57000	905115
807168580409764	1100	933	unavailable	99	57000	482393
807168600421088	1100	933	unavailable	99	57000	1208774
807168620407556	1100	933	unavailable	99	57000	1016073
807168640422368	1100	933	unavailable	99	57000	558947
807168660418213	1100	933	unavailable	99	57000	480500
807168680407928	1100	933	unavailable	99	57000	1115590
807168700407751	1100	933	unavailable	99	57000	669164
807168720411382	1100	933	unavailable	99	57000	436097
807168740411134	1100	933	unavailable	99	57000	969917
807168760418773	1100	933	unavailable	99	57000	781414
807168780714372	1100	933	unavailable	99	57000	1359977
807168800444279	1100	933	unavailable	99	57000	1222710
807168820411851	1100	933	unavailable	99	57000	974275
807168840455065	1100	933	unavailable	99	57000	662521
807168860433238	1100	933	unavailable	99	57000	1194568
807168880406421	1100	933	unavailable	99	57000	1040890
807168900830399	1100	933	unavailable	99	57000	677670
807168920425535	1100	933	unavailable	99	57000	610634
807168940426310	1100	933	unavailable	99	57000	1132721
807168960449396	1100	933	unavailable	99	57000	644828
807168980411199	1100	933	unavailable	99	57000	506749
807169000404750	1100	933	unavailable	99	57000	962433
807169021220742	1100	933	unavailable	99	57000	473878
807169040402493	1100	933	unavailable	99	57000	422572
807169060407155	1100	933	unavailable	99	57000	1070636
807169080418631	1100	933	unavailable	98	57000	968995
807169100408706	1100	933	unavailable	98	57000	471533
807169120411174	1100	933	unavailable	98	57000	502391
807169140413191	1100	933	unavailable	99	57000	1002107
807169160454282	1100	933	unavailable	99	57000	484177
807169180417096	1100	933	unavailable	99	57000	543678
807169200418392	1100	933	unavailable	99	57000	1108527
807169220422574	1100	933	unavailable	99	57000	672008
807169240416186	1100	933	unavailable	99	57000	452728
807169260425947	1100	933	unavailable	99	57000	1102415
807169280405352	1100	933	unavailable	99	57000	876211
807169300422818	1100	933	unavailable	99	57000	549640
807169320403456	1100	933	unavailable	99	57000	1076667
807169340404752	1100	933	unavailable	99	57000	925944
807169360422549	1100	933	unavailable	99	57000	592079
807169380409438	1100	933	unavailable	99	57000	422912
807169400405604	1100	933	unavailable	99	57000	978163
807169420419835	1100	933	unavailable	99	57000	624149
807169440424918	1100	933	unavailable	99	57000	556162
807169460428047	1100	933	unavailable	99	57000	1121752
807169480426619	1100	933	unavailable	99	57000	682318
807169500418587	1100	933	unavailable	99	57000	458449
807169520434711	1100	933	unavailable	99	57000	1088579
807169540424906	1100	933	unavailable	99	57000	794528
807169560425902	1100	933	unavailable	99	57000	501419
807169580404565	1100	933	unavailable	99	57000	1081115
807169600415670	1100	933	unavailable	99	57000	867976
807169620415263	1100	933	unavailable	99	57000	410499
807169641744677	1100	933	unavailable	99	57000	518150
807169660409499	1100	933	unavailable	99	57000	956983
807169680417818	1100	933	unavailable	98	57000	550782
807169700419275	1100	933	unavailable	98	57000	555049
807169720409641	1100	933	unavailable	98	57000	1078400
807169740406428	1100	933	unavailable	98	57000	654306
807169760416210	1100	933	unavailable	99	57000	520605
807169780404923	1100	933	unavailable	99	57000	1156476
807169800402592	1100	933	unavailable	99	57000	761837
807169820456487	1100	933	unavailable	99	57000	676176
807169840421305	1100	933	unavailable	99	57000	1235544
807169860416239	1100	933	unavailable	99	57000	885067
807169880405612	1100	933	unavailable	99	57000	432470
807169900404945	1100	933	unavailable	99	57000	454542
807169920427260	1100	933	unavailable	99	57000	988312
807169940407417	1100	933	unavailable	99	57000	491260
807169960405387	1100	933	unavailable	99	57000	446135
807169980407765	1100	933	unavailable	99	57000	1088980
