arm	ctx_checkpoints	turn	prompt_n	prompt_ms	predicted_n	predicted_ms	prompt_tok_s	decode_tok_s	prefill_saved_ms
1	0	1	30725	807829.817	32	4720.397	38.034	6.779	-
1	0	2	30748	740371.200	32	3723.538	41.531	8.594	67458.617
2	2	1	30725	694595.268	32	3767.383	44.234	8.494	-
2	2	2	27	2227.450	32	3709.838	12.121	8.626	692367.818
3	4	1	30725	702477.271	32	3710.065	43.738	8.625	-
3	4	2	27	2233.295	32	3718.684	12.090	8.605	700243.976
4	8	1	30725	694329.107	32	3723.316	44.251	8.594	-
4	8	2	27	2231.348	32	3714.955	12.100	8.614	692097.759
5	8	1	30725	694488.396	32	3746.512	44.241	8.541	-
5	8	2	27	2240.253	32	3805.213	12.052	8.410	692248.143
6	4	1	30725	694621.838	32	3720.763	44.233	8.600	-
6	4	2	27	2275.346	32	3763.136	11.866	8.504	692346.492
7	2	1	30725	694209.038	32	3712.042	44.259	8.621	-
7	2	2	27	2227.113	32	3711.960	12.123	8.621	691981.925
8	0	1	30725	731079.501	32	4938.229	42.027	6.480	-
8	0	2	30748	907464.569	32	5584.638	33.883	5.730	-176385.068
