block	first_line	last_line	terminator	instructions	valu	vmem	lds	salu	waitcnt	longest_valu_chain	max_vmem_in_flight	max_lgkm_in_flight	vmcnt_arguments	lgkmcnt_arguments
1	2	9	s_cbranch_scc0	8	0	0	0	7	1	0	0	1	-	0
2	11	13	s_cbranch_scc0	3	0	0	0	3	0	0	0	0	-	-
3	15	78	s_branch	64	15	0	0	49	0	5	0	0	-	-
4	80	80	-	1	0	0	0	1	0	0	0	0	-	-
5	82	96	s_cbranch_execz	15	11	0	0	4	0	5	0	0	-	-
6	98	112	-	15	4	0	0	11	0	1	0	0	-	-
7	114	302	-	189	166	10	0	2	11	12	10	0	9,8,7,6,5,4,3,2,1,0	0
8	304	305	s_cbranch_scc1	2	0	0	0	2	0	0	0	0	-	-
9	307	307	-	1	0	0	0	1	0	0	0	0	-	-
10	309	311	-	3	2	0	0	1	0	1	0	0	-	-
11	313	345	-	33	16	0	0	17	0	8	0	0	-	-
12	347	348	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
13	350	362	s_branch	13	2	0	0	9	2	2	0	1	-	0,0
14	364	365	-	2	1	0	0	1	0	1	0	0	-	-
15	367	368	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
16	370	381	s_branch	12	1	0	0	9	2	1	0	1	-	0,0
17	383	383	-	1	0	0	0	1	0	0	0	0	-	-
18	385	394	s_cbranch_scc0	10	0	1	0	8	1	0	0	1	-	0
19	396	403	s_branch	8	2	0	0	4	2	2	0	1	-	0,0
20	405	405	-	1	1	0	0	0	0	1	0	0	-	-
21	407	408	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
22	410	415	-	6	1	0	0	3	2	1	0	1	-	0,0
23	417	419	s_branch	3	0	1	0	2	0	0	0	0	-	-
24	421	422	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
25	424	427	s_cbranch_scc0	4	0	0	0	4	0	0	0	0	-	-
26	429	492	s_branch	64	15	0	0	49	0	5	0	0	-	-
27	494	494	-	1	0	0	0	1	0	0	0	0	-	-
28	496	510	s_cbranch_execz	15	11	0	0	4	0	5	0	0	-	-
29	512	521	s_branch	10	3	0	0	7	0	1	0	0	-	-
30	523	524	-	2	0	0	0	2	0	0	0	0	-	-
31	526	555	s_cbranch_scc0	30	20	4	0	1	5	5	4	0	3,2,1,0	0
32	557	644	s_cbranch_scc0	88	73	3	0	8	4	12	3	1	2,1,0	0
33	646	728	s_branch	83	72	3	0	5	3	12	3	0	2,1,0	-
34	730	730	-	1	0	0	0	1	0	0	0	0	-	-
35	732	734	-	3	2	0	0	1	0	2	0	0	-	-
36	736	737	s_cbranch_scc1	2	0	0	0	2	0	0	0	0	-	-
37	739	739	-	1	0	0	0	1	0	0	0	0	-	-
38	741	743	-	3	2	0	0	1	0	1	0	0	-	-
39	745	748	s_cbranch_scc0	4	0	0	0	4	0	0	0	0	-	-
40	750	767	s_cbranch_scc0	18	8	0	0	10	0	8	0	0	-	-
41	769	785	-	17	9	0	0	8	0	8	0	0	-	-
42	787	787	-	1	1	0	0	0	0	1	0	0	-	-
43	789	791	s_cbranch_execz	3	0	0	0	3	0	0	0	0	-	-
44	793	794	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
45	796	807	s_branch	12	1	0	0	9	2	1	0	1	-	0,0
46	809	809	-	1	0	0	0	1	0	0	0	0	-	-
47	811	812	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
48	814	825	s_branch	12	1	0	0	9	2	1	0	1	-	0,0
49	827	827	-	1	0	0	0	1	0	0	0	0	-	-
50	829	838	s_cbranch_scc0	10	0	1	0	8	1	0	0	1	-	0
51	840	841	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
52	843	848	-	6	1	0	0	3	2	1	0	1	-	0,0
53	850	851	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
54	853	858	-	6	1	0	0	3	2	1	0	1	-	0,0
55	860	861	-	2	0	1	0	1	0	0	0	0	-	-
56	863	863	s_endpgm	1	0	0	0	0	0	0	0	0	-	-
