op	name	calls_per_block	total_us	mean_us
op	MUL_MAT	181.000	599218.2	472.943
op	RMS_NORM_MUL	79.000	220704.6	399.104
op	MUL_MAT_ADD	30.000	115276.3	548.935
op	GET_ROWS	38.000	101571.0	381.846
op	MUL	42.000	86337.7	293.666
op	CPY	36.000	68224.6	270.732
op	ADD	36.000	59649.3	236.703
op	L2_NORM	36.000	57877.9	229.674
op	SIGMOID	24.000	55508.2	330.406
op	GLU	24.000	48425.9	288.249
op	ROPE	12.000	42155.8	501.854
op	GATED_DELTA_NET	18.000	40224.5	319.242
op	SILU	18.000	38913.7	308.839
op	SET_ROWS	12.000	38141.0	454.060
op	SOFTPLUS	18.000	37303.6	296.060
op	CONCAT	18.000	33376.8	264.895
op	SSM_CONV_SILU	18.000	30379.6	241.108
op	FLASH_ATTN_EXT	6.000	21054.4	501.296
op	CONT	6.000	18004.4	428.675
blocks	8	ops=19
decode_blocks	7
prefill_blocks	1
unknown_blocks	0
