block	first_line	last_line	terminator	instructions	valu	vmem	lds	salu	waitcnt	longest_valu_chain	max_vmem_in_flight	max_lgkm_in_flight	vmcnt_arguments	lgkmcnt_arguments
1	2	9	s_cbranch_scc0	8	0	0	0	7	1	0	0	1	-	0
2	11	13	s_cbranch_scc0	3	0	0	0	3	0	0	0	0	-	-
3	15	78	s_branch	64	15	0	0	49	0	5	0	0	-	-
4	80	80	-	1	0	0	0	1	0	0	0	0	-	-
5	82	97	s_branch	16	12	0	0	4	0	5	0	0	-	-
6	99	314	-	216	177	14	0	11	14	17	14	1	13,12,11,10,9,8,7,6,5,3,2,1,0	0
7	316	317	-	2	1	0	0	1	0	1	0	0	-	-
8	319	320	s_cbranch_scc1	2	0	0	0	2	0	0	0	0	-	-
9	322	354	-	33	16	0	0	17	0	8	0	0	-	-
10	356	357	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
11	359	371	s_branch	13	2	0	0	9	2	2	0	1	-	0,0
12	373	374	-	2	1	0	0	1	0	1	0	0	-	-
13	376	377	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
14	379	390	s_branch	12	1	0	0	9	2	1	0	1	-	0,0
15	392	392	-	1	0	0	0	1	0	0	0	0	-	-
16	394	403	s_cbranch_scc0	10	0	1	0	8	1	0	0	1	-	0
17	405	412	s_branch	8	2	0	0	4	2	2	0	1	-	0,0
18	414	414	-	1	1	0	0	0	0	1	0	0	-	-
19	416	417	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
20	419	424	-	6	1	0	0	3	2	1	0	1	-	0,0
21	426	428	s_branch	3	0	1	0	2	0	0	0	0	-	-
22	430	431	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
23	433	436	s_cbranch_scc0	4	0	0	0	4	0	0	0	0	-	-
24	438	501	s_branch	64	15	0	0	49	0	5	0	0	-	-
25	503	503	-	1	0	0	0	1	0	0	0	0	-	-
26	505	520	-	16	12	0	0	4	0	5	0	0	-	-
27	523	524	-	2	1	0	0	1	0	1	0	0	-	-
28	526	527	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
29	529	564	s_cbranch_scc0	36	20	4	0	7	5	5	4	1	3,2,1,0	0
30	566	662	s_cbranch_scc0	97	80	5	0	6	6	17	5	1	4,3,2,1,0	0
31	664	753	-	90	76	5	0	4	5	17	5	0	4,3,2,1,0	-
32	755	756	s_branch	2	1	0	0	1	0	1	0	0	-	-
33	758	761	s_cbranch_scc0	4	0	0	0	4	0	0	0	0	-	-
34	763	780	s_cbranch_scc0	18	8	0	0	10	0	8	0	0	-	-
35	782	798	-	17	9	0	0	8	0	8	0	0	-	-
36	800	800	-	1	1	0	0	0	0	1	0	0	-	-
37	802	804	s_cbranch_execz	3	0	0	0	3	0	0	0	0	-	-
38	806	807	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
39	809	820	s_branch	12	1	0	0	9	2	1	0	1	-	0,0
40	822	822	-	1	0	0	0	1	0	0	0	0	-	-
41	824	825	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
42	827	838	s_branch	12	1	0	0	9	2	1	0	1	-	0,0
43	840	840	-	1	0	0	0	1	0	0	0	0	-	-
44	842	851	s_cbranch_scc0	10	0	1	0	8	1	0	0	1	-	0
45	853	854	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
46	856	861	-	6	1	0	0	3	2	1	0	1	-	0,0
47	863	864	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
48	866	871	-	6	1	0	0	3	2	1	0	1	-	0,0
49	873	874	-	2	0	1	0	1	0	0	0	0	-	-
50	876	876	s_endpgm	1	0	0	0	0	0	0	0	0	-	-
