slot	arm	server_sha256	predicted_n	predicted_ms	tok_s	census_rows	sidecar	ownership	status	sclk_mode_mhz	sclk_share	mclk_mode_mhz	regime_delta	clock_invariant	below_required_fraction
0a	W	70aa78bc0eed708ce8d06b690467affce3bb222014714af4dbd92e00fa5ff010	64	20568.245	3.063	-	on	-	completed	1100	1.0000	933	-	held	0.0000
1	C	70aa78bc0eed708ce8d06b690467affce3bb222014714af4dbd92e00fa5ff010	64	20418.359	3.085	-	on	-	completed	1100	1.0000	933	-	held	0.0000
2	K	83684f3c5992c1e62f26d15247393cf4b1aa380c5f2a4e1ca1b05071db0e49b4	64	19143.836	3.291	-	on	-	completed	1100	1.0000	933	-	held	0.0000
3	K	83684f3c5992c1e62f26d15247393cf4b1aa380c5f2a4e1ca1b05071db0e49b4	64	19099.005	3.299	-	on	-	completed	1100	1.0000	933	-	held	0.0000
4	C	70aa78bc0eed708ce8d06b690467affce3bb222014714af4dbd92e00fa5ff010	64	20402.165	3.088	-	on	-	completed	1100	1.0000	933	-	held	0.0000
5	C	70aa78bc0eed708ce8d06b690467affce3bb222014714af4dbd92e00fa5ff010	64	20406.386	3.087	-	on	-	completed	1100	1.0000	933	-	held	0.0000
6	K	83684f3c5992c1e62f26d15247393cf4b1aa380c5f2a4e1ca1b05071db0e49b4	64	19108.066	3.297	-	on	-	completed	1100	1.0000	933	-	held	0.0000
7	K	83684f3c5992c1e62f26d15247393cf4b1aa380c5f2a4e1ca1b05071db0e49b4	64	19286.565	3.267	-	on	-	completed	1100	1.0000	933	-	held	0.0000
8	C	70aa78bc0eed708ce8d06b690467affce3bb222014714af4dbd92e00fa5ff010	64	20480.582	3.076	-	on	-	completed	1100	1.0000	933	-	held	0.0000
