slot	arm	phase	begin_ns	end_ns	note
0a	W	launch	1788631371243306406	1788631383818888936	-
0a	W	request	1788631383818888936	1788631406066576240	-
0a	W	teardown	1788631406066576240	1788631407170954707	-
0a	W	analysis	1788631407170954707	1788631407389937980	-
0a	W	cooldown	1788631407390861754	1788631420093021214	quiescence=reached elapsed_ms=12692 sclk_forced=1
1	C	launch	1788631420097697900	1788631433389431286	-
1	C	request	1788631433389431286	1788631455444567282	-
1	C	teardown	1788631455444567282	1788631456466781492	-
1	C	analysis	1788631456466781492	1788631456690189778	-
1	C	cooldown	1788631456691120575	1788631475072941238	quiescence=reached elapsed_ms=18371 sclk_forced=1
2	K	launch	1788631475077428823	1788631487704700551	-
2	K	request	1788631487704700551	1788631508485258857	-
2	K	teardown	1788631508485258857	1788631509542432761	-
2	K	analysis	1788631509542432761	1788631509804465815	-
2	K	cooldown	1788631509805250375	1788631527106387932	quiescence=reached elapsed_ms=17292 sclk_forced=1
3	K	launch	1788631527110895960	1788631539149353438	-
3	K	request	1788631539149353438	1788631559880656372	-
3	K	teardown	1788631559880656372	1788631560752680311	-
3	K	analysis	1788631560752680311	1788631560968910769	-
3	K	cooldown	1788631560969802297	1788631575209086458	quiescence=reached elapsed_ms=14230 sclk_forced=1
4	C	launch	1788631575214000487	1788631587825161314	-
4	C	request	1788631587825161314	1788631609904335698	-
4	C	teardown	1788631609904335698	1788631610895904234	-
4	C	analysis	1788631610895904234	1788631611102836555	-
4	C	cooldown	1788631611103755043	1788631627955273464	quiescence=reached elapsed_ms=16842 sclk_forced=1
5	C	launch	1788631627960014680	1788631640412271209	-
5	C	request	1788631640412271209	1788631662454241905	-
5	C	teardown	1788631662454241905	1788631663465091442	-
5	C	analysis	1788631663465091442	1788631663690612881	-
5	C	cooldown	1788631663691509490	1788631680292186390	quiescence=reached elapsed_ms=16591 sclk_forced=1
6	K	launch	1788631680301847319	1788631692400483335	-
6	K	request	1788631692400483335	1788631713162454416	-
6	K	teardown	1788631713162454416	1788631714053748723	-
6	K	analysis	1788631714053748723	1788631714274914282	-
6	K	cooldown	1788631714275761009	1788631728984798539	quiescence=reached elapsed_ms=14699 sclk_forced=1
7	K	launch	1788631728989243819	1788631741322885602	-
7	K	request	1788631741322885602	1788631762267848350	-
7	K	teardown	1788631762267848350	1788631763152023918	-
7	K	analysis	1788631763152023918	1788631763365744171	-
7	K	cooldown	1788631763366782462	1788631778553246244	quiescence=reached elapsed_ms=15173 sclk_forced=1
8	C	launch	1788631778557859956	1788631790704542281	-
8	C	request	1788631790704542281	1788631812843982370	-
8	C	teardown	1788631812843982370	1788631813859432313	-
8	C	analysis	1788631813859432313	1788631814091052695	-
8	C	cooldown	1788631814091894245	1788631832098049759	quiescence=reached elapsed_ms=17996 sclk_forced=1
-	-	campaign	1788631371224375647	1788631832203203774	-
