source_label	source_sha256	public_derivative	public_derivative_sha256	sanitizer	sanitizer_sha256	substitutions
q8_calibration_cost_analysis	8ff17b7b681559aa481175b62d323bf524c52857351501f455ff71adfdc6c395	q8-calibration-cost-analysis.md	8ff17b7b681559aa481175b62d323bf524c52857351501f455ff71adfdc6c395	remote/sanitize-capture.py	a1573c22d76367834d7588a71ec4c357402662ae045d9b49fc9b02d1b35da279	0
q8_calibration_sidecar_cost_comparison	05fc6a4399e1482ac101fb7da8c9ea5d224dbf1018fa8af45e552317b7efbb28	q8-calibration-sidecar-cost-comparison.md	05fc6a4399e1482ac101fb7da8c9ea5d224dbf1018fa8af45e552317b7efbb28	remote/sanitize-capture.py	a1573c22d76367834d7588a71ec4c357402662ae045d9b49fc9b02d1b35da279	0
