monotonic_ns	tctl_millidegrees	edge_millidegrees	freq1_hz
502932547210200	52625	52000	1100000000
502933547654753	62500	62000	1100000000
502934548094987	61125	61000	1100000000
502935548551340	60000	60000	1100000000
502936549074537	60125	60000	1100000000
502937551356310	59625	59000	1100000000
502938551638968	58375	58000	1100000000
502939551979744	57625	57000	1100000000
502940552465702	58000	58000	1100000000
502941553067238	58625	58000	1100000000
502942553470007	59000	59000	1100000000
502943554044068	59500	59000	1100000000
502944554488287	60375	60000	1100000000
502945555021041	60500	60000	1100000000
502946555496068	60500	60000	1100000000
