op	name	calls_per_block	total_us	mean_us
op	MUL_MAT	181.000	13188159.4	1156.552
op	MUL_MAT_ADD	30.000	2611823.0	1381.917
op	RMS_NORM_MUL	79.000	2168060.1	435.616
op	GET_ROWS	38.000	1129068.3	471.624
op	MUL	42.000	815255.3	308.109
op	CPY	36.000	735170.2	324.149
op	L2_NORM	36.000	634034.5	279.557
op	ADD	36.000	618765.4	272.824
op	SIGMOID	24.000	597778.7	395.356
op	GLU	24.000	528570.3	349.584
op	GATED_DELTA_NET	18.000	454294.2	400.612
op	SILU	18.000	404207.0	356.444
op	SOFTPLUS	18.000	400970.8	353.590
op	CONCAT	18.000	381756.8	336.646
op	SET_ROWS	12.000	381004.5	503.974
op	ROPE	12.000	379279.5	501.692
op	SSM_CONV_SILU	18.000	331750.0	292.549
op	FLASH_ATTN_EXT	6.000	248402.9	657.150
op	CONT	6.000	193504.7	511.917
blocks	64	ops=19
decode_blocks	63
prefill_blocks	1
unknown_blocks	0
