op	name	calls_per_block	total_us	mean_us
op	MUL_MAT	181.000	12987629.0	1138.966
op	MUL_MAT_ADD	30.000	2533835.2	1340.654
op	RMS_NORM_MUL	79.000	2065737.0	415.057
op	GET_ROWS	38.000	1115716.6	466.047
op	MUL	42.000	810875.9	306.453
op	CPY	36.000	709774.7	312.952
op	L2_NORM	36.000	612847.2	270.215
op	ADD	36.000	598375.0	263.834
op	SIGMOID	24.000	589250.8	389.716
op	GLU	24.000	521110.0	344.649
op	GATED_DELTA_NET	18.000	455826.8	401.964
op	ROPE	12.000	390385.3	516.383
op	SILU	18.000	390369.5	344.241
op	SOFTPLUS	18.000	388575.3	342.659
op	SET_ROWS	12.000	371069.3	490.832
op	CONCAT	18.000	353261.3	311.518
op	SSM_CONV_SILU	18.000	326439.8	287.866
op	FLASH_ATTN_EXT	6.000	223924.4	592.392
op	CONT	6.000	184049.9	486.904
blocks	64	ops=19
decode_blocks	63
prefill_blocks	1
unknown_blocks	0
