arm	ctx_checkpoints	turn	prompt_n	prompt_ms	predicted_n	predicted_ms	prompt_tok_s	decode_tok_s	prefill_saved_ms
1	0	1	30725	1091679.376	32	6147.360	28.145	5.205	-
1	0	2	30748	1122266.223	32	5417.315	27.398	5.907	-30586.847
2	2	1	30725	1088506.867	32	5269.509	28.227	6.073	-
2	2	2	28	1963.383	32	5265.320	14.261	6.078	1086543.484
3	2	1	30725	1050207.469	32	5254.805	29.256	6.090	-
3	2	2	28	1956.461	32	5257.505	14.312	6.087	1048251.008
4	0	1	30725	1049618.224	32	5274.960	29.273	6.066	-
4	0	2	30748	1088179.457	32	5265.753	28.256	6.077	-38561.233
