1067	400	62000	4.26	419115008	645214208
1067	914	69000	4.32	1277468672	647917568
1067	1100	66000	4.32	1268555776	629329920
1067	1100	65000	4.21	1268555776	629329920
1067	1100	66000	4.21	1268555776	629329920
1067	1100	66000	4.21	1268555776	629329920
1067	1100	67000	4.12	1268555776	629329920
1067	1100	68000	4.12	1268555776	629329920
1067	1100	68000	4.03	1268555776	629329920
1067	1100	70000	4.03	1265098752	629313536
1067	1100	70000	4.03	1265098752	629313536
1067	1100	71000	4.02	1265098752	629313536
1067	1100	71000	4.02	1265098752	629313536
1067	1100	72000	4.50	1265098752	629313536
