slot	arm	server_sha256	predicted_n	predicted_ms	tok_s	census_rows	sidecar	ownership	status
1	P-nosidecar	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	7490.743	8.410	-	off	-	completed
2	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6378.750	9.877	-	refused	-	failed
3	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6370.983	9.889	-	refused	-	failed
4	P-nosidecar	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6357.913	9.909	-	off	-	completed
5	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6361.641	9.903	-	refused	-	failed
6	I0	fd62fd27cfd53d06ee487aa02eea61931d2552edd6b6200127fa586a73b46a96	64	6391.888	9.856	-	refused	-	failed
7	I0	fd62fd27cfd53d06ee487aa02eea61931d2552edd6b6200127fa586a73b46a96	64	6373.767	9.884	-	refused	-	failed
8	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6376.345	9.880	-	refused	-	failed
9	I0	fd62fd27cfd53d06ee487aa02eea61931d2552edd6b6200127fa586a73b46a96	64	6359.425	9.907	-	refused	-	failed
10	I1	fd62fd27cfd53d06ee487aa02eea61931d2552edd6b6200127fa586a73b46a96	64	6514.721	9.670	43608	refused	-	failed
11	I1	fd62fd27cfd53d06ee487aa02eea61931d2552edd6b6200127fa586a73b46a96	64	6538.576	9.635	43608	refused	-	failed
12	I0	fd62fd27cfd53d06ee487aa02eea61931d2552edd6b6200127fa586a73b46a96	64	6370.604	9.889	-	refused	-	failed
13	S	fd62fd27cfd53d06ee487aa02eea61931d2552edd6b6200127fa586a73b46a96	-	-	-	0	refused	-	failed
