# clock=CLOCK_MONOTONIC period_ns=5000000 drm_device=/sys/class/drm/card1/device
monotonic_ns	sclk_mhz	mclk_mhz	fclk_mhz	busy_percent	millidegrees	sample_cost_ns
332949350232901	400	1067	unavailable	0	53000	227649
332949355505015	400	1067	unavailable	0	53000	519247
332949361031578	400	1067	unavailable	0	53000	877971
332949365209184	400	1067	unavailable	0	53000	301757
332949370212983	400	1067	unavailable	0	62000	2619355
332949375206533	400	1067	unavailable	0	62000	374755
332949380205463	400	1067	unavailable	0	62000	295045
332949385215454	400	1067	unavailable	0	62000	891978
332949390209365	400	1067	unavailable	0	62000	401174
332949395206201	400	1067	unavailable	0	62000	397828
332949400200733	400	1067	unavailable	0	62000	854557
332949405198411	400	1067	unavailable	0	62000	531640
332949410206218	400	1067	unavailable	0	62000	347714
332949415210749	400	1067	unavailable	0	62000	995973
332949420212735	400	1067	unavailable	0	62000	567497
332949425205804	400	1067	unavailable	0	62000	433996
332949431214383	400	1067	unavailable	0	62000	401174
332949435215667	400	1067	unavailable	0	62000	597413
332949440206091	400	1067	unavailable	0	62000	375296
332949445206805	400	1067	unavailable	0	62000	891847
332949450206937	400	1067	unavailable	0	62000	615508
332949455208633	400	1067	unavailable	0	62000	373432
332949460214546	400	1067	unavailable	0	62000	1052419
332949465209188	400	1067	unavailable	0	62000	594979
332949470206135	400	1067	unavailable	0	62000	256833
332949475207099	400	1067	unavailable	0	62000	953102
332949480207001	400	1067	unavailable	0	62000	679958
332949485202945	400	1067	unavailable	0	62000	387128
332949490207797	400	1067	unavailable	0	62000	995952
332949495209562	400	1067	unavailable	0	62000	731917
332949500202100	400	1067	unavailable	0	62000	373252
332949505205589	400	1067	unavailable	0	62000	1003657
332949510206203	400	1067	unavailable	0	62000	710215
332949515213458	400	1067	unavailable	0	62000	400353
332949520207429	400	1067	unavailable	0	62000	371419
332949525206390	400	1067	unavailable	0	62000	708772
332949530207243	400	1067	unavailable	0	62000	392188
332949535207737	400	1067	unavailable	0	62000	373101
332949540207719	400	1067	unavailable	0	62000	741945
332949545202621	400	1067	unavailable	0	62000	383291
332949550211661	400	1067	unavailable	0	62000	407897
332949555207124	400	1067	unavailable	0	62000	767744
332949560207267	400	1067	unavailable	0	62000	392959
332949565216176	400	1067	unavailable	0	63000	453402
332949570212351	400	1067	unavailable	0	63000	833357
332949575206592	400	1067	unavailable	0	63000	406775
332949580212385	400	1067	unavailable	0	63000	396175
332949585213830	400	1067	unavailable	0	63000	884593
332949590211488	400	1067	unavailable	0	63000	414128
332949595212782	400	1067	unavailable	0	63000	410362
332949600208617	400	1067	unavailable	0	63000	904240
332949605208689	400	1067	unavailable	0	63000	435138
332949610212839	400	1067	unavailable	0	63000	423697
332949615212951	400	1067	unavailable	0	63000	909180
332949620212643	400	1067	unavailable	0	63000	412726
332949625212244	400	1067	unavailable	0	63000	413698
332949630212647	400	1067	unavailable	0	63000	947783
332949635210726	400	1067	unavailable	0	63000	432603
332949640212982	400	1067	unavailable	0	63000	416503
332949645213966	400	1067	unavailable	0	63000	968041
332949650213808	400	1067	unavailable	0	63000	456178
332949655213550	400	1067	unavailable	0	63000	415872
332949660465115	400	1067	unavailable	0	63000	797700
332949665212552	400	1067	unavailable	0	63000	494090
332949670203217	400	1067	unavailable	0	63000	302649
332949675207377	400	1067	unavailable	0	63000	981776
332949680211427	400	1067	unavailable	0	63000	512243
332949685213673	400	1067	unavailable	0	63000	406605
332949690212473	400	1067	unavailable	0	63000	961749
332949695211664	400	1067	unavailable	0	63000	534836
332949700208059	400	1067	unavailable	0	63000	404631
332949705216257	400	1067	unavailable	0	63000	992807
332949710211079	400	1067	unavailable	0	63000	571816
332949715213666	400	1067	unavailable	0	63000	417986
332949720211935	400	1067	unavailable	0	63000	1024847
332949725207810	400	1067	unavailable	0	63000	616218
332949730213613	400	1067	unavailable	0	63000	428896
332949735215909	400	1067	unavailable	0	63000	895184
332949740204049	400	1067	unavailable	0	63000	648079
332949745214210	400	1067	unavailable	0	63000	414340
332949750213571	400	1067	unavailable	0	63000	922635
332949755211921	400	1067	unavailable	0	63000	663858
332949760213426	400	1067	unavailable	0	63000	417094
332949765215592	400	1067	unavailable	0	63000	950928
332949770215584	400	1067	unavailable	0	63000	684818
332949775209675	400	1067	unavailable	0	63000	323328
332949780216420	400	1067	unavailable	0	63000	1006703
332949785206503	400	1067	unavailable	0	63000	729202
332949790213318	400	1067	unavailable	0	63000	420631
332949795214733	400	1067	unavailable	0	63000	415752
332949800214966	400	1067	unavailable	0	63000	743408
332949805213666	400	1067	unavailable	0	63000	456087
332949810214810	400	1067	unavailable	0	63000	413918
332949815293871	400	1067	unavailable	0	62000	697451
332949820220074	400	1067	unavailable	0	62000	413708
332949825212743	400	1067	unavailable	0	62000	409139
332949830210992	400	1067	unavailable	0	62000	820072
332949835209371	400	1067	unavailable	0	62000	413497
332949840214713	400	1067	unavailable	0	62000	413097
332949845207000	400	1067	unavailable	0	62000	858405
332949850211692	400	1067	unavailable	0	62000	421953
