monotonic_ns	tctl_millidegrees	edge_millidegrees	freq1_hz
503028502987709	62750	62000	1100000000
503029503783727	62750	62000	1100000000
503030504550295	61500	61000	1100000000
503031505367990	60875	60000	1100000000
503032506156098	61250	61000	1100000000
503033506942666	60750	60000	1100000000
503034507725289	59625	59000	1100000000
503035508526385	58750	58000	1100000000
503036509310256	58875	58000	1100000000
503037510101285	59500	59000	1100000000
503038511015086	59875	59000	1100000000
503039512111624	60750	60000	1100000000
503040513259166	61250	61000	1100000000
503041515284096	61500	61000	1100000000
