variant	spec_constants	block_size_note	sha256	bytes
mul_mat_vec_q8_0_f32_f32	0:64,1:2,2:1	QUANT_K=32, not 256	fb422b0192d94c2cc637eabf8394269749df257a008914649a368248f41a4d47	22828
mul_mat_vec_q8_0_f32_f32_subgroup	0:64,1:2,2:1	QUANT_K=32, not 256	8b5ddf19eb11c8d1b7d07af59bcdd83b413fc087586b658ca97b9dee6dcd0ff6	22972
