slot	arm	server_sha256	predicted_n	predicted_ms	tok_s	census_rows	status
1	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	-	-	-	-	failed
2	I0	f2a89d85f4ad6e432e5089a87eb42440aa4f057cb498c5692871a7b74f3413ca	-	-	-	-	failed
3	I0	f2a89d85f4ad6e432e5089a87eb42440aa4f057cb498c5692871a7b74f3413ca	-	-	-	-	failed
4	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	-	-	-	-	failed
5	I0	f2a89d85f4ad6e432e5089a87eb42440aa4f057cb498c5692871a7b74f3413ca	-	-	-	-	failed
6	I1	f2a89d85f4ad6e432e5089a87eb42440aa4f057cb498c5692871a7b74f3413ca	-	-	-	0	failed
7	I1	f2a89d85f4ad6e432e5089a87eb42440aa4f057cb498c5692871a7b74f3413ca	-	-	-	0	failed
8	I0	f2a89d85f4ad6e432e5089a87eb42440aa4f057cb498c5692871a7b74f3413ca	-	-	-	-	failed
9	S	f2a89d85f4ad6e432e5089a87eb42440aa4f057cb498c5692871a7b74f3413ca	64	25347.675	2.485	66	completed
