key	value
schema	package-energy-window-v1
clock	CLOCK_MONOTONIC
window_begin_ns	502891226384036
window_end_ns	502898277154044
window_s	7.050770
sample_count	281
sample_period_ns	50000000
unreadable_count	0
inner_begin_ns	502891263331424
inner_end_ns	502898263332317
inner_interval_s	7.000001
inner_package_joules	120.737363
inner_core_joules	11.069770
inner_package_watts	17.248193
inner_core_watts	1.581396
outer_begin_ns	502891213391908
outer_end_ns	502898313332156
outer_interval_s	7.099940
outer_package_joules	121.975641
outer_core_joules	11.205887
outer_package_watts	17.179812
outer_core_watts	1.578307
window_coverage	bracketed
