monotonic_ns	tctl_millidegrees	edge_millidegrees	freq1_hz
502885080094935	58750	58000	1100000000
502886080478723	59000	59000	1100000000
502887081399839	57625	57000	1100000000
502888081700917	57375	57000	1100000000
502889082206229	57875	57000	1100000000
502890082803912	57250	57000	1100000000
502891083686381	56000	56000	1100000000
502892084629921	55250	55000	1100000000
502893085528350	56250	56000	1100000000
502894086552794	57000	57000	1100000000
502895087399283	57500	57000	1100000000
502896089178574	58125	58000	1100000000
502897089443264	58750	58000	1100000000
502898090198103	59250	59000	1100000000
