slot	arm	server_sha256	predicted_n	predicted_ms	tok_s	census_rows	sidecar	ownership	status	sclk_mode_mhz	sclk_share	regime_delta	clock_invariant	below_required_fraction
0a	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6637.745	9.491	-	on	-	completed	1100	1.0000	-	held	0.0000
1	P-nosidecar	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6759.720	9.320	-	off	-	completed	-	-	-	-	-
2	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6644.020	9.482	-	on	-	completed	1100	1.0000	-	held	0.0000
3	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	8170.435	7.711	-	refused	-	failed	1100	1.0000	-	held	0.0000
4	P-nosidecar	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	7579.993	8.311	-	off	-	completed	-	-	-	-	-
5	P-nosidecar	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	7147.771	8.814	-	off	-	completed	-	-	-	-	-
6	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6845.418	9.203	-	on	-	completed	1100	1.0000	-	held	0.0000
7	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	7112.802	8.857	-	on	-	completed	1100	1.0000	-	held	0.0000
8	P-nosidecar	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	7166.085	8.791	-	off	-	completed	-	-	-	-	-
9	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6734.614	9.355	-	on	-	completed	1100	1.0000	-	held	0.0000
10	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6587.004	9.564	-	on	-	completed	1100	1.0000	-	held	0.0000
11	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6583.718	9.569	-	on	-	completed	1100	1.0000	-	held	0.0000
12	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6789.799	9.279	-	on	-	completed	1100	1.0000	-	held	0.0000
13	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	7067.844	8.914	-	on	-	completed	1100	1.0000	-	held	0.0000
14	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6528.503	9.650	-	on	-	completed	1100	1.0000	-	held	0.0000
15	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6452.547	9.764	-	on	-	completed	1100	1.0000	-	held	0.0000
16	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6455.363	9.759	-	on	-	completed	1100	1.0000	-	held	0.0000
17	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6447.680	9.771	-	on	-	completed	1100	1.0000	-	held	0.0000
18	I1	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6513.244	9.673	43608	on	conclusive	completed	1100	1.0000	-	held	0.0000
19	I1	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6701.178	9.401	43608	on	conclusive	completed	1100	1.0000	-	held	0.0000
20	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6661.659	9.457	-	on	-	completed	1100	1.0000	-	held	0.0000
21	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6658.019	9.462	-	on	-	completed	1100	1.0000	-	held	0.0000
22	I1	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6798.242	9.267	43608	on	conclusive	completed	1100	1.0000	-	held	0.0000
23	I1	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6496.794	9.697	43608	on	conclusive	completed	1100	1.0000	-	held	0.0000
24	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6439.011	9.784	-	on	-	completed	1100	1.0000	-	held	0.0000
25	S	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	18925.029	3.329	64	on	-	completed	1100	1.0000	-	held	0.0000
