slot	arm	tok_s	sclk_mode_mhz	mclk_mode_mhz	temp_mean_c	temp_max_c	busy_mean_percent	samples	sclk_share
2	P	9.482	1100	933	76.0	77.0	93.27	365	1.0000
3	P	7.711	1100	933	76.7	78.0	84.70	410	1.0000
6	P	9.203	1100	933	80.1	85.0	92.14	374	1.0000
7	P	8.857	1100	933	78.7	80.0	89.24	388	1.0000
9	P	9.355	1100	933	77.2	78.0	91.70	367	1.0000
0a	W	9.491	1100	933	73.5	74.0	93.60	364	1.0000
10	I0	9.564	1100	933	75.7	77.0	93.35	361	1.0000
11	I0	9.569	1100	933	75.7	77.0	93.51	360	1.0000
12	P	9.279	1100	933	77.8	79.0	91.01	372	1.0000
13	P	8.914	1100	933	78.6	87.0	92.04	387	1.0000
14	I0	9.650	1100	933	76.5	81.0	93.62	359	1.0000
15	I0	9.764	1100	933	77.6	82.0	94.50	355	1.0000
16	P	9.759	1100	933	70.8	73.0	94.73	354	1.0000
17	I0	9.771	1100	933	71.9	73.0	94.85	354	1.0000
18	I1	9.673	1100	933	71.9	73.0	94.54	358	1.0000
19	I1	9.401	1100	933	74.1	75.0	92.70	368	1.0000
20	I0	9.457	1100	933	76.2	77.0	92.60	365	1.0000
21	I0	9.462	1100	933	75.3	77.0	92.42	366	1.0000
22	I1	9.267	1100	933	79.6	82.0	91.52	372	1.0000
23	I1	9.697	1100	933	74.6	76.0	94.77	357	1.0000
24	I0	9.784	1100	933	73.3	74.0	94.93	353	1.0000
25	S	3.329	1100	933	71.8	78.0	43.13	991	1.0000
