slot	arm	phase	begin_ns	end_ns	note
0a	W	launch	1788384265100236279	1788384276171551527	-
0a	W	request	1788384276171551527	1788384283460342036	-
0a	W	teardown	1788384283460342036	1788384284170583665	-
0a	W	analysis	1788384284170583665	1788384284331610580	-
0a	W	cooldown	1788384284332399230	1788384299677124740	quiescence=reached elapsed_ms=15335 sclk_forced=1
1	P-nosidecar	launch	1788384299681799895	1788384307781316127	-
1	P-nosidecar	request	1788384307781316127	1788384315188343412	-
1	P-nosidecar	teardown	1788384315188343412	1788384316099720037	-
1	P-nosidecar	analysis	1788384316099720037	1788384316214558045	-
1	P-nosidecar	cooldown	1788384316215396830	1788384338917721020	quiescence=reached elapsed_ms=22692 sclk_forced=1
2	P	launch	1788384338923083227	1788384350077317463	-
2	P	request	1788384350077317463	1788384357379527064	-
2	P	teardown	1788384357379527064	1788384358349742394	-
2	P	analysis	1788384358349742394	1788384358561894765	-
2	P	cooldown	1788384358562909019	1788384375639072549	quiescence=reached elapsed_ms=17063 sclk_forced=1
3	P	launch	1788384375644513214	1788384387950908842	-
3	P	request	1788384387950908842	1788384396770705579	-
3	P	teardown	1788384396770705579	1788384397794209859	-
3	P	analysis	1788384397794209859	1788384397964817465	-
3	P	cooldown	1788384397966269893	1788384406032354856	quiescence=reached elapsed_ms=8051 sclk_forced=1
4	P-nosidecar	launch	1788384406038944690	1788384419233250753	-
4	P-nosidecar	request	1788384419233250753	1788384427448759626	-
4	P-nosidecar	teardown	1788384427448759626	1788384428355431540	-
4	P-nosidecar	analysis	1788384428355431540	1788384428449858869	-
4	P-nosidecar	cooldown	1788384428451386036	1788384436409264714	quiescence=reached elapsed_ms=7945 sclk_forced=1
5	P-nosidecar	launch	1788384436426644200	1788384447356792415	-
5	P-nosidecar	request	1788384447356792415	1788384455145072370	-
5	P-nosidecar	teardown	1788384455145072370	1788384456114114649	-
5	P-nosidecar	analysis	1788384456114114649	1788384456245107508	-
5	P-nosidecar	cooldown	1788384456245980998	1788384481065885867	quiescence=reached elapsed_ms=24807 sclk_forced=1
6	P	launch	1788384481070691913	1788384491383888906	-
6	P	request	1788384491383888906	1788384498867973050	-
6	P	teardown	1788384498867973050	1788384500006638640	-
6	P	analysis	1788384500006638640	1788384500175008363	-
6	P	cooldown	1788384500176062774	1788384507414147469	quiescence=reached elapsed_ms=7225 sclk_forced=1
7	P	launch	1788384507419983560	1788384517108281400	-
7	P	request	1788384517108281400	1788384524905038224	-
7	P	teardown	1788384524905038224	1788384526049614695	-
7	P	analysis	1788384526049614695	1788384526207502509	-
7	P	cooldown	1788384526208604579	1788384556324450293	quiescence=timeout elapsed_ms=30104 sclk_forced=1
8	P-nosidecar	launch	1788384556330560110	1788384567472207504	-
8	P-nosidecar	request	1788384567472207504	1788384575306335250	-
8	P-nosidecar	teardown	1788384575306335250	1788384576288858439	-
8	P-nosidecar	analysis	1788384576288858439	1788384576392553564	-
8	P-nosidecar	cooldown	1788384576393578359	1788384606415306135	quiescence=timeout elapsed_ms=30009 sclk_forced=1
9	P	launch	1788384606419753259	1788384617632151770	-
9	P	request	1788384617632151770	1788384625010861039	-
9	P	teardown	1788384625010861039	1788384626082863090	-
9	P	analysis	1788384626082863090	1788384626224681632	-
9	P	cooldown	1788384626225498957	1788384636895435127	quiescence=reached elapsed_ms=10660 sclk_forced=1
10	I0	launch	1788384636900073390	1788384646472734997	-
10	I0	request	1788384646472734997	1788384653698954078	-
10	I0	teardown	1788384653698954078	1788384654627280553	-
10	I0	analysis	1788384654627280553	1788384654768168910	-
10	I0	cooldown	1788384654770835089	1788384664460185991	quiescence=reached elapsed_ms=9678 sclk_forced=1
11	I0	launch	1788384664465810428	1788384674401013507	-
11	I0	request	1788384674401013507	1788384681615489910	-
11	I0	teardown	1788384681615489910	1788384682568174265	-
11	I0	analysis	1788384682568174265	1788384682713057049	-
11	I0	cooldown	1788384682713807639	1788384688471048819	quiescence=reached elapsed_ms=5744 sclk_forced=1
12	P	launch	1788384688477409329	1788384698323692414	-
12	P	request	1788384698323692414	1788384705754139736	-
12	P	teardown	1788384705754139736	1788384706700015835	-
12	P	analysis	1788384706700015835	1788384706848282777	-
12	P	cooldown	1788384706849077249	1788384726691266828	quiescence=reached elapsed_ms=19831 sclk_forced=1
13	P	launch	1788384726695854167	1788384736501933359	-
13	P	request	1788384736501933359	1788384744243867371	-
13	P	teardown	1788384744243867371	1788384745079611132	-
13	P	analysis	1788384745079611132	1788384745221924332	-
13	P	cooldown	1788384745222821027	1788384765254911940	quiescence=reached elapsed_ms=20022 sclk_forced=1
14	I0	launch	1788384765260572286	1788384773744193844	-
14	I0	request	1788384773744193844	1788384780910611674	-
14	I0	teardown	1788384780910611674	1788384781809265682	-
14	I0	analysis	1788384781809265682	1788384781986624096	-
14	I0	cooldown	1788384781987405865	1788384794001064621	quiescence=reached elapsed_ms=12004 sclk_forced=1
15	I0	launch	1788384794005700212	1788384802265266176	-
15	I0	request	1788384802265266176	1788384809355092639	-
15	I0	teardown	1788384809355092639	1788384810271217417	-
15	I0	analysis	1788384810271217417	1788384810430190114	-
15	I0	cooldown	1788384810431118819	1788384839146681167	quiescence=reached elapsed_ms=28705 sclk_forced=1
16	P	launch	1788384839151204617	1788384847143575605	-
16	P	request	1788384847143575605	1788384854229764095	-
16	P	teardown	1788384854229764095	1788384854912839062	-
16	P	analysis	1788384854912839062	1788384855072060843	-
16	P	cooldown	1788384855072945195	1788384866599430375	quiescence=reached elapsed_ms=11514 sclk_forced=1
17	I0	launch	1788384866604943185	1788384874673980108	-
17	I0	request	1788384874673980108	1788384881754016160	-
17	I0	teardown	1788384881754016160	1788384882670950008	-
17	I0	analysis	1788384882670950008	1788384882841085476	-
17	I0	cooldown	1788384882842527216	1788384895040580809	quiescence=reached elapsed_ms=12187 sclk_forced=1
18	I1	launch	1788384895044858909	1788384903137973249	-
18	I1	request	1788384903137973249	1788384910282113280	-
18	I1	teardown	1788384910282113280	1788384911195079581	-
18	I1	analysis	1788384911195079581	1788384912554162868	-
18	I1	cooldown	1788384912555121210	1788384924480016457	quiescence=reached elapsed_ms=11913 sclk_forced=1
19	I1	launch	1788384924484954006	1788384933871910212	-
19	I1	request	1788384933871910212	1788384941232936229	-
19	I1	teardown	1788384941232936229	1788384942295220575	-
19	I1	analysis	1788384942295220575	1788384943613157244	-
19	I1	cooldown	1788384943614222540	1788384954489471919	quiescence=reached elapsed_ms=10862 sclk_forced=1
20	I0	launch	1788384954495489072	1788384965982189598	-
20	I0	request	1788384965982189598	1788384973278030839	-
20	I0	teardown	1788384973278030839	1788384974148812256	-
20	I0	analysis	1788384974148812256	1788384974293333492	-
