block	first_line	last_line	terminator	instructions	valu	vmem	lds	salu	waitcnt	longest_valu_chain	max_vmem_in_flight	max_lgkm_in_flight	vmcnt_arguments	lgkmcnt_arguments
1	2	9	s_cbranch_scc0	8	0	0	0	7	1	0	0	1	-	0
2	11	13	s_cbranch_scc0	3	0	0	0	3	0	0	0	0	-	-
3	15	78	s_branch	64	15	0	0	49	0	5	0	0	-	-
4	80	80	-	1	0	0	0	1	0	0	0	0	-	-
5	82	99	s_branch	18	14	0	0	4	0	5	0	0	-	-
6	101	495	-	395	329	24	0	19	23	17	24	1	23,22,21,20,19,18,17,16,15,13,12,11,10,9,8,7,6,5,3,2,1,0	0
7	497	498	-	2	1	0	0	1	0	1	0	0	-	-
8	500	501	s_cbranch_scc1	2	0	0	0	2	0	0	0	0	-	-
9	503	567	-	65	32	0	0	33	0	8	0	0	-	-
10	569	570	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
11	572	584	s_branch	13	2	0	0	9	2	2	0	1	-	0,0
12	586	587	-	2	1	0	0	1	0	1	0	0	-	-
13	589	590	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
14	592	603	s_branch	12	1	0	0	9	2	1	0	1	-	0,0
15	605	605	-	1	0	0	0	1	0	0	0	0	-	-
16	607	616	s_cbranch_scc0	10	0	1	0	8	1	0	0	1	-	0
17	618	626	s_branch	9	2	0	0	5	2	2	0	1	-	0,0
18	628	629	-	2	1	0	0	1	0	1	0	0	-	-
19	631	632	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
20	634	641	s_branch	8	1	0	0	5	2	1	0	1	-	0,0
21	643	643	-	1	0	0	0	1	0	0	0	0	-	-
22	645	648	s_cbranch_scc0	4	0	1	0	3	0	0	0	0	-	-
23	650	658	s_branch	9	2	0	0	5	2	2	0	1	-	0,0
24	660	661	-	2	1	0	0	1	0	1	0	0	-	-
25	663	664	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
26	666	673	s_branch	8	1	0	0	5	2	1	0	1	-	0,0
27	675	675	-	1	0	0	0	1	0	0	0	0	-	-
28	677	680	s_cbranch_scc0	4	0	1	0	3	0	0	0	0	-	-
29	682	689	s_branch	8	2	0	0	4	2	2	0	1	-	0,0
30	691	691	-	1	1	0	0	0	0	1	0	0	-	-
31	693	694	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
32	696	701	-	6	1	0	0	3	2	1	0	1	-	0,0
33	703	705	s_branch	3	0	1	0	2	0	0	0	0	-	-
34	707	708	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
