monitor_start_utc=2026-09-04T04:08:23Z server_pid=2861384 sample_seconds=1 profile=low-async latency_watchdog_pid=2861945 kernel_hazard_watchdog_pid=2861954 guard_affinity=1 guard_nice=0
threshold_mem_available_kib=4194304 threshold_swapin_bytes_per_sample=67108864 report_temperature_millicelsius=90000
threshold_maximum_gpu_busy_percent=100 enforcement=terminate_on_sample_above_threshold
sample_utc=2026-09-04T04:08:23Z affinity=0 nice=19 rss_kib=177044 peak_rss_kib=177044 mem_available_kib=26111220 swapin_bytes=0 max_temp_millicelsius=73000 gpu_busy_percent=15 gtt_used_bytes=1202749440 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 400Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:08:24Z affinity=0 nice=19 rss_kib=177784 peak_rss_kib=177784 mem_available_kib=26113644 swapin_bytes=0 max_temp_millicelsius=72000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:08:25Z affinity=0 nice=19 rss_kib=180836 peak_rss_kib=180836 mem_available_kib=26116612 swapin_bytes=0 max_temp_millicelsius=71000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:08:26Z affinity=0 nice=19 rss_kib=180836 peak_rss_kib=180836 mem_available_kib=26116376 swapin_bytes=0 max_temp_millicelsius=71000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:08:27Z affinity=0 nice=19 rss_kib=180836 peak_rss_kib=180836 mem_available_kib=26115900 swapin_bytes=0 max_temp_millicelsius=70250 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:08:28Z affinity=0 nice=19 rss_kib=180836 peak_rss_kib=180836 mem_available_kib=26115672 swapin_bytes=0 max_temp_millicelsius=70625 gpu_busy_percent=96 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:08:29Z affinity=0 nice=19 rss_kib=180836 peak_rss_kib=180836 mem_available_kib=26116080 swapin_bytes=0 max_temp_millicelsius=71000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:08:30Z affinity=0 nice=19 rss_kib=180836 peak_rss_kib=180836 mem_available_kib=26115888 swapin_bytes=0 max_temp_millicelsius=71375 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:08:31Z affinity=0 nice=19 rss_kib=180836 peak_rss_kib=180836 mem_available_kib=26116100 swapin_bytes=0 max_temp_millicelsius=71625 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:08:32Z affinity=0 nice=19 rss_kib=180836 peak_rss_kib=180836 mem_available_kib=26116064 swapin_bytes=0 max_temp_millicelsius=71875 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:08:33Z affinity=0 nice=19 rss_kib=180836 peak_rss_kib=180836 mem_available_kib=26116088 swapin_bytes=0 max_temp_millicelsius=72000 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:08:34Z affinity=0 nice=19 rss_kib=180836 peak_rss_kib=180836 mem_available_kib=26116172 swapin_bytes=0 max_temp_millicelsius=72375 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:08:35Z affinity=0 nice=19 rss_kib=180836 peak_rss_kib=180836 mem_available_kib=26116264 swapin_bytes=0 max_temp_millicelsius=72375 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:08:36Z affinity=0 nice=19 rss_kib=180836 peak_rss_kib=180836 mem_available_kib=26116004 swapin_bytes=0 max_temp_millicelsius=72625 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:08:37Z affinity=0 nice=19 rss_kib=180836 peak_rss_kib=180836 mem_available_kib=26115848 swapin_bytes=0 max_temp_millicelsius=72750 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:08:38Z affinity=0 nice=19 rss_kib=180836 peak_rss_kib=180836 mem_available_kib=26115624 swapin_bytes=0 max_temp_millicelsius=73000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
