op	name	calls_per_block	total_us	mean_us
op	MUL_MAT	181.000	12850113.1	1126.906
op	MUL_MAT_ADD	30.000	2515700.9	1331.059
op	RMS_NORM_MUL	79.000	2012216.2	404.303
op	GET_ROWS	38.000	1078861.7	450.652
op	MUL	42.000	790671.2	298.818
op	CPY	36.000	689497.7	304.011
op	L2_NORM	36.000	613140.9	270.344
op	ADD	36.000	602836.9	265.801
op	SIGMOID	24.000	563431.3	372.640
op	GLU	24.000	496085.1	328.099
op	GATED_DELTA_NET	18.000	439740.0	387.778
op	SOFTPLUS	18.000	375984.5	331.556
op	SILU	18.000	375772.2	331.369
op	SET_ROWS	12.000	371369.4	491.229
op	ROPE	12.000	368105.9	486.913
op	CONCAT	18.000	345628.8	304.787
op	SSM_CONV_SILU	18.000	321196.3	283.242
op	FLASH_ATTN_EXT	6.000	226248.4	598.541
op	CONT	6.000	186371.5	493.046
blocks	64	ops=19
decode_blocks	63
prefill_blocks	1
unknown_blocks	0
