slot	arm	phase	begin_ns	end_ns	note
0a	W	launch	1788387735373965068	1788387746423259062	-
0a	W	request	1788387746423259062	1788387754001782445	-
0a	W	teardown	1788387754001782445	1788387755108847111	-
0a	W	analysis	1788387755108847111	1788387755304993180	-
0a	W	cooldown	1788387755306011010	1788387761802686623	quiescence=reached elapsed_ms=6486 sclk_forced=1
1	C	launch	1788387761807774347	1788387773250067497	-
1	C	request	1788387773250067497	1788387780708906459	-
1	C	teardown	1788387780708906459	1788387781829379970	-
1	C	analysis	1788387781829379970	1788387781982888866	-
1	C	cooldown	1788387781983873253	1788387788187031712	quiescence=reached elapsed_ms=6190 sclk_forced=1
2	K	launch	1788387788194147581	1788387803894179781	-
2	K	request	1788387803894179781	1788387811596410716	-
2	K	teardown	1788387811596410716	1788387813043391936	-
2	K	analysis	1788387813043391936	1788387813249087354	-
2	K	cooldown	1788387813250190684	1788387821896052116	quiescence=reached elapsed_ms=8634 sclk_forced=1
3	K	launch	1788387821903423074	1788387833310150042	-
3	K	request	1788387833310150042	1788387841019636050	-
3	K	teardown	1788387841019636050	1788387842400539563	-
3	K	analysis	1788387842400539563	1788387842573278076	-
3	K	cooldown	1788387842574243848	1788387856192198420	quiescence=reached elapsed_ms=13601 sclk_forced=1
4	C	launch	1788387856199552536	1788387871789666026	-
4	C	request	1788387871789666026	1788387881163934875	-
4	C	teardown	1788387881163934875	1788387882429000493	-
4	C	analysis	1788387882429000493	1788387882681411924	-
4	C	cooldown	1788387882684287128	1788387912767326970	quiescence=timeout elapsed_ms=30067 sclk_forced=1
5	C	launch	1788387912776754936	1788387927496668454	-
5	C	request	1788387927496668454	1788387937037568265	-
5	C	teardown	1788387937037568265	1788387938245930697	-
5	C	analysis	1788387938245930697	1788387938416976951	-
5	C	cooldown	1788387938417796177	1788387968557316212	quiescence=timeout elapsed_ms=30128 sclk_forced=1
6	K	launch	1788387968562378609	1788387980535770275	-
6	K	request	1788387980535770275	1788387988112427188	-
6	K	teardown	1788387988112427188	1788387989176666428	-
6	K	analysis	1788387989176666428	1788387989336705945	-
6	K	cooldown	1788387989337838239	1788388019571634827	quiescence=timeout elapsed_ms=30221 sclk_forced=1
7	K	launch	1788388019586358239	1788388038498250242	-
7	K	request	1788388038498250242	1788388045913705222	-
7	K	teardown	1788388045913705222	1788388046886701651	-
7	K	analysis	1788388046886701651	1788388047037596744	-
7	K	cooldown	1788388047038646003	1788388059532765796	quiescence=reached elapsed_ms=12482 sclk_forced=1
8	C	launch	1788388059542488276	1788388069177357992	-
8	C	request	1788388069177357992	1788388076469666641	-
8	C	teardown	1788388076469666641	1788388077436737880	-
8	C	analysis	1788388077436737880	1788388077710001452	-
8	C	cooldown	1788388077711055700	1788388107740690437	quiescence=timeout elapsed_ms=30017 sclk_forced=1
-	-	campaign	1788387735356228525	1788388107794578744	-
