slot	arm	tok_s	sclk_mode_mhz	mclk_mode_mhz	temp_mean_c	temp_max_c	busy_mean_percent	samples	sclk_share
1	C	9.233	1100	933	76.9	78.0	91.51	373	1.0000
2	K	9.009	1100	933	78.7	80.0	87.97	383	1.0000
3	K	8.911	1100	933	79.6	81.0	89.54	385	1.0000
4	C	7.255	1100	933	81.8	83.0	80.59	443	1.0000
5	C	7.108	1100	933	80.7	82.0	82.07	453	1.0000
6	K	9.104	1100	933	79.5	80.0	91.51	379	1.0000
7	K	9.320	1100	933	82.0	84.0	90.46	361	1.0000
8	C	9.461	1100	933	79.9	81.0	93.10	362	1.0000
0a	W	9.095	1100	933	74.8	76.0	91.55	379	1.0000
