slot	arm	phase	begin_ns	end_ns	note
0a	W	launch	1788494131731922231	1788494141939524936	-
0a	W	request	1788494141939524936	1788494162255024238	-
0a	W	teardown	1788494162255024238	1788494163286767277	-
0a	W	analysis	1788494163286767277	1788494163540373899	-
0a	W	cooldown	1788494163541272261	1788494175919116516	quiescence=reached elapsed_ms=12368 sclk_forced=0
0b	W	launch	1788494175925584378	1788494186225076564	-
0b	W	request	1788494186225076564	1788494206528561144	-
0b	W	teardown	1788494206528561144	1788494207544514716	-
0b	W	analysis	1788494207544514716	1788494207774805784	-
0b	W	cooldown	1788494207775691329	1788494221277500372	quiescence=reached elapsed_ms=13493 sclk_forced=0
0c	W	launch	1788494221284071843	1788494231477192044	-
0c	W	request	1788494231477192044	1788494251803297848	-
0c	W	teardown	1788494251803297848	1788494252699259036	-
0c	W	analysis	1788494252699259036	1788494252944110629	-
0c	W	cooldown	1788494252945009684	1788494266886316296	quiescence=reached elapsed_ms=13928 sclk_forced=0
0d	W	launch	1788494266891764066	1788494277130380141	-
0d	W	request	1788494277130380141	1788494297435336369	-
0d	W	teardown	1788494297435336369	1788494298436614725	-
0d	W	analysis	1788494298436614725	1788494298679005288	-
0d	W	cooldown	1788494298680410870	1788494311601769035	quiescence=reached elapsed_ms=12910 sclk_forced=0
0e	W	launch	1788494311607665616	1788494321821539124	-
0e	W	request	1788494321821539124	1788494342123804711	-
0e	W	teardown	1788494342123804711	1788494343012156218	-
0e	W	analysis	1788494343012156218	1788494343239641725	-
0e	W	cooldown	1788494343240413539	1788494355347309808	quiescence=reached elapsed_ms=12097 sclk_forced=0
0f	W	launch	1788494355353685395	1788494365524300497	-
0f	W	request	1788494365524300497	1788494385820373686	-
0f	W	teardown	1788494385820373686	1788494386839326879	-
0f	W	analysis	1788494386839326879	1788494387083586009	-
0f	W	cooldown	1788494387084480838	1788494399382425668	quiescence=reached elapsed_ms=12288 sclk_forced=0
0g	W	launch	1788494399388719302	1788494409574969645	-
0g	W	request	1788494409574969645	1788494429891967061	-
0g	W	teardown	1788494429891967061	1788494430913098966	-
0g	W	analysis	1788494430913098966	1788494431147083380	-
0g	W	cooldown	1788494431147998800	1788494445542073699	quiescence=reached elapsed_ms=14380 sclk_forced=0
0h	W	launch	1788494445549560778	1788494455813770203	-
0h	W	request	1788494455813770203	1788494476111378252	-
0h	W	teardown	1788494476111378252	1788494477093498133	-
0h	W	analysis	1788494477093498133	1788494477339265812	-
0h	W	cooldown	1788494477340833900	1788494490032481852	quiescence=reached elapsed_ms=12681 sclk_forced=0
0i	W	launch	1788494490039298420	1788494500236590192	-
