slot	arm	server_sha256	predicted_n	predicted_ms	tok_s	census_rows	sidecar	ownership	status	sclk_mode_mhz	sclk_share	regime_delta	clock_invariant	below_required_fraction
0a	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18651.965	3.378	-	on	-	completed	1100	0.9616	-	-	-
0b	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18642.111	3.379	-	on	-	completed	1100	0.9557	-	-	-
0c	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18654.515	3.377	-	on	-	completed	1100	0.9606	-	-	-
0d	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18638.099	3.380	-	on	-	completed	1100	0.9823	-	-	-
0e	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18636.423	3.380	-	on	-	completed	1100	0.9813	-	-	-
0f	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18641.171	3.380	-	on	-	completed	1100	0.9793	-	-	-
0g	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18651.772	3.378	-	on	-	completed	1100	0.9793	-	-	-
0h	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18637.465	3.380	-	on	-	completed	1100	0.9833	-	-	-
0i	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18648.334	3.378	-	on	-	completed	1100	0.9705	-	-	-
0j	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18643.880	3.379	-	on	-	completed	1100	0.9734	-	-	-
0k	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18650.379	3.378	-	on	-	completed	1100	0.9596	-	-	-
0l	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18652.339	3.378	-	on	-	completed	1100	0.9724	-	-	-
0m	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18643.170	3.379	-	on	-	completed	1100	0.9704	-	-	-
0n	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18639.902	3.380	-	on	-	completed	1100	0.9714	-	-	-
0o	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18640.026	3.380	-	on	-	completed	1100	0.9714	-	-	-
0p	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18637.590	3.380	-	on	-	completed	1100	0.9714	-	-	-
1	C	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18636.139	3.381	-	on	-	completed	1100	0.9714	-	-	-
2	K	2955d6dd653f3a5cfee6573c1361cf8b694c066905cae1622e4de0d6cb47e98b	64	18649.093	3.378	-	on	-	completed	1100	0.9616	-	-	-
3	K	2955d6dd653f3a5cfee6573c1361cf8b694c066905cae1622e4de0d6cb47e98b	64	18640.397	3.380	-	on	-	completed	1100	0.9616	-	-	-
4	C	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18647.676	3.378	-	on	-	completed	1100	0.9704	-	-	-
5	C	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18641.569	3.380	-	on	-	completed	1100	0.9803	-	-	-
6	K	2955d6dd653f3a5cfee6573c1361cf8b694c066905cae1622e4de0d6cb47e98b	64	21528.150	2.926	-	refused	-	failed	1100	0.2470	-	-	-
7	K	2955d6dd653f3a5cfee6573c1361cf8b694c066905cae1622e4de0d6cb47e98b	64	18657.153	3.377	-	on	-	completed	1100	0.9676	-	-	-
8	C	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	19197.797	3.282	-	on	-	completed	1100	0.6424	-	-	-
