arm	ctx_checkpoints	turn	prompt_n	prompt_ms	predicted_n	predicted_ms	prompt_tok_s	decode_tok_s	prefill_saved_ms
1	0	1	30725	3146533.406	32	15981.254	9.765	2.002	-
1	0	2	30748	3187972.509	32	15987.962	9.645	2.002	-41439.103
