block	first_line	last_line	terminator	instructions	valu	vmem	lds	salu	waitcnt	longest_valu_chain	max_vmem_in_flight	max_lgkm_in_flight	vmcnt_arguments	lgkmcnt_arguments
1	2	9	s_cbranch_scc0	8	0	0	0	7	1	0	0	1	-	0
2	11	13	s_cbranch_scc0	3	0	0	0	3	0	0	0	0	-	-
3	15	78	s_branch	64	15	0	0	49	0	5	0	0	-	-
4	80	80	-	1	0	0	0	1	0	0	0	0	-	-
5	82	111	s_branch	30	26	0	0	4	0	5	0	0	-	-
6	113	1565	-	1453	1244	84	0	55	70	17	14	1	13,12,11,10,8,7,6,5,8,7,6,5,8,7,6,5,8,7,6,5,8,7,6,5,8,7,6,5,8,7,6,5,8,7,6,5,8,7,6,5,8,7,6,5,8,7,6,5,8,7,6,5,8,7,6,5,8,7,6,5,8,7,6,5,4,3,2,1,0	0
7	1567	1568	-	2	1	0	0	1	0	1	0	0	-	-
8	1570	1571	s_cbranch_scc1	2	0	0	0	2	0	0	0	0	-	-
9	1573	1829	-	257	128	0	0	129	0	8	0	0	-	-
10	1831	1832	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
11	1834	1846	s_branch	13	2	0	0	9	2	2	0	1	-	0,0
12	1848	1849	-	2	1	0	0	1	0	1	0	0	-	-
13	1851	1852	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
14	1854	1865	s_branch	12	1	0	0	9	2	1	0	1	-	0,0
15	1867	1867	-	1	0	0	0	1	0	0	0	0	-	-
16	1869	1878	s_cbranch_scc0	10	0	1	0	8	1	0	0	1	-	0
17	1880	1888	s_branch	9	2	0	0	5	2	2	0	1	-	0,0
18	1890	1891	-	2	1	0	0	1	0	1	0	0	-	-
19	1893	1894	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
20	1896	1903	s_branch	8	1	0	0	5	2	1	0	1	-	0,0
21	1905	1905	-	1	0	0	0	1	0	0	0	0	-	-
22	1907	1910	s_cbranch_scc0	4	0	1	0	3	0	0	0	0	-	-
23	1912	1920	s_branch	9	2	0	0	5	2	2	0	1	-	0,0
24	1922	1923	-	2	1	0	0	1	0	1	0	0	-	-
25	1925	1926	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
26	1928	1935	s_branch	8	1	0	0	5	2	1	0	1	-	0,0
27	1937	1937	-	1	0	0	0	1	0	0	0	0	-	-
28	1939	1942	s_cbranch_scc0	4	0	1	0	3	0	0	0	0	-	-
29	1944	1952	s_branch	9	2	0	0	5	2	2	0	1	-	0,0
30	1954	1955	-	2	1	0	0	1	0	1	0	0	-	-
