key	value
schema	package-energy-window-v1
clock	CLOCK_MONOTONIC
window_begin_ns	503261917445183
window_end_ns	503265534017172
window_s	3.616572
sample_count	201
sample_period_ns	50000000
unreadable_count	0
inner_begin_ns	503261937284819
inner_end_ns	503265487360941
inner_interval_s	3.550076
inner_package_joules	61.344926
inner_core_joules	6.753495
inner_package_watts	17.279890
inner_core_watts	1.902352
outer_begin_ns	503261887350285
outer_end_ns	503265537647931
outer_interval_s	3.650298
outer_package_joules	62.947947
outer_core_joules	7.100127
outer_package_watts	17.244607
outer_core_watts	1.945082
window_coverage	bracketed
