arm	ctx_checkpoints	turn	prompt_n	prompt_ms	predicted_n	predicted_ms	prompt_tok_s	decode_tok_s	prefill_saved_ms
2	2	1	30725	3512599.699	32	21929.292	8.747	1.459	-
2	2	2	27	8993.314	32	22185.894	3.002	1.442	3503606.385
3	4	1	30725	3294785.076	32	16533.980	9.325	1.935	-
3	4	2	27	8587.516	32	16475.618	3.144	1.942	3286197.560
4	8	1	30725	3175097.345	32	16010.024	9.677	1.999	-
4	8	2	27	7747.584	32	15981.282	3.485	2.002	3167349.761
5	8	1	30725	3106107.386	32	16623.013	9.892	1.925	-
5	8	2	27	7865.810	32	15969.011	3.433	2.004	3098241.576
6	4	1	30725	3129223.525	32	15903.847	9.819	2.012	-
6	4	2	27	7864.990	32	15922.697	3.433	2.010	3121358.535
7	2	1	30725	3108175.674	32	15984.700	9.885	2.002	-
7	2	2	27	7769.705	32	16000.583	3.475	2.000	3100405.969
8	0	1	30725	3133609.165	32	15996.298	9.805	2.000	-
8	0	2	30748	3134071.601	32	16018.337	9.811	1.998	-462.436
