monotonic_ns	tctl_millidegrees	edge_millidegrees	freq1_hz
503436593121186	62125	62000	1100000000
503437593818340	63000	63000	1100000000
503438594487065	64250	64000	1100000000
503439595150572	63500	63000	1100000000
503440595821267	63375	63000	1100000000
503441596550629	63875	63000	1100000000
503442598720375	63500	63000	1100000000
503443601250503	61875	61000	1100000000
503444601592573	60750	60000	1100000000
503445630650650	60125	60000	1100000000
503446631530654	60000	60000	1100000000
503447632228480	60750	60000	1100000000
503448632897977	61125	61000	1100000000
503449633593404	61750	61000	1100000000
503450634279266	62125	62000	1100000000
503451634968084	62375	62000	1100000000
503452635675461	62875	62000	1100000000
503453636473929	63250	63000	1100000000
503454637080713	63375	63000	1100000000
503455637894820	63875	63000	1100000000
503456638479197	64125	64000	1100000000
503457639189209	64625	64000	1100000000
503458639890992	65000	65000	1100000000
503459640663441	65250	65000	1100000000
503460641306721	65750	65000	1100000000
503461642018301	65750	65000	1100000000
503462642714756	66250	66000	1100000000
503463643433078	66375	66000	1100000000
503464644601679	66375	66000	1100000000
503465645017622	66750	66000	1100000000
503466645602406	77750	77000	1100000000
